"Rank","Genes ranked in the direction 2","'-log10(RRA score)'","KO essential score","Brief feature","Description"
7371,"PLEKHA7",0.3993,0.055,"NA","pleckstrin homology domain containing A7"
7372,"DRAXIN",0.3992,0.075,"NA","dorsal inhibitory axon guidance protein"
7373,"VSIG8",0.3991,-0.04,"NA","V-set and immunoglobulin domain containing 8"
7374,"BPIFB4",0.3991,-0.115,"NA","BPI fold containing family B member 4"
7375,"RAD50",0.399,-0.135,"NA","RAD50 double strand break repair protein"
7376,"EXOSC3",0.3989,-1.1,"NA","exosome component 3"
7377,"BABAM1",0.3989,0.14,"NA","BRISC and BRCA1 A complex member 1"
7378,"DHRS4L2",0.3988,-0.115,"NA","dehydrogenase/reductase 4 like 2"
7379,"TMPPE",0.3988,-0.065,"NA","transmembrane protein with metallophosphoesterase domain"
7380,"MAP2K4",0.3987,0.055,"Kinase","mitogen-activated protein kinase kinase 4"
7381,"ATP6V1C1",0.3987,-0.85,"NA","ATPase H+ transporting V1 subunit C1"
7382,"PARD6G",0.3986,-0.075,"NA","par-6 family cell polarity regulator gamma"
7383,"LIPN",0.3985,0.02,"NA","lipase family member N"
7384,"RSPO1",0.3985,0.035,"NA","R-spondin 1"
7385,"NKX2-3",0.3984,,,
7386,"EML2",0.3983,-0.15,"NA","EMAP like 2"
7387,"PTGS2",0.3983,0.17,"NA","prostaglandin-endoperoxide synthase 2"
7388,"SPC25",0.3982,-1.4,"NA","SPC25 component of NDC80 kinetochore complex"
7389,"SNTB2",0.3982,-0.1,"NA","syntrophin beta 2"
7390,"PDCD7",0.3981,-0.915,"NA","programmed cell death 7"
7391,"DIRAS1",0.3981,0.035,"NA","DIRAS family GTPase 1"
7392,"CKM",0.398,0.02,"NA","creatine kinase"
7393,"GAD1",0.398,-0.13,"NA","glutamate decarboxylase 1"
7394,"VWF",0.3979,0.02,"NA","von Willebrand factor"
7395,"MYSM1",0.3978,-0.175,"TF","Myb like"
7396,"ADGRE5",0.3977,0.025,"NA","adhesion G protein-coupled receptor E5"
7397,"RNF222",0.3977,0.02,"NA","ring finger protein 222"
7398,"TRAF7",0.3976,-0.155,"NA","TNF receptor associated factor 7"
7399,"DPYSL4",0.3976,0.1,"NA","dihydropyrimidinase like 4"
7400,"PHGDH",0.3975,-0.09,"NA","phosphoglycerate dehydrogenase"
7401,"SOX9",0.3975,-0.285,"TF","SRY-box transcription factor 9"
7402,"TRAPPC13",0.3974,-0.25,"NA","trafficking protein particle complex 13"
7403,"AIG1",0.3974,0.005,"NA","androgen induced 1"
7404,"KIF6",0.3973,-0.045,"NA","kinesin family member 6"
7405,"PON3",0.3972,-0.03,"NA","paraoxonase 3"
7406,"FBXO9",0.3972,-0.135,"NA","F-box protein 9"
7407,"SELENON",0.3971,-0.055,"NA","selenoprotein N"
7408,"ZNF496",0.397,0.1,"TF","zinc finger protein 496"
7409,"LYSMD1",0.397,-0.355,"NA","LysM domain containing 1"
7410,"SF3B3",0.3969,-2,"NA","splicing factor 3b subunit 3"
7411,"NGLY1",0.3968,-0.22,"NA","N-glycanase 1"
7412,"ADAM17",0.3968,0.025,"NA","ADAM metallopeptidase domain 17"
7413,"ZKSCAN4",0.3967,0.025,"TF","zinc finger with KRAB and SCAN domains 4"
7414,"CYP2C18",0.3966,-0.065,"NA","cytochrome P450 family 2 subfamily C member 18"
7415,"MTHFR",0.3965,0.035,"NA","methylenetetrahydrofolate reductase"
7416,"OXT",0.3964,-0.02,"NA","oxytocin/neurophysin I prepropeptide"
7417,"NARS1",0.3964,,,
7418,"SH2D7",0.3963,-0.035,"NA","SH2 domain containing 7"
7419,"PXYLP1",0.3963,-0.09,"NA","2-phosphoxylose phosphatase 1"
7420,"PCMT1",0.3961,-0.135,"NA","protein-L-isoaspartate (D-aspartate) O-methyltransferase"
7421,"YKT6",0.3961,-1.39,"NA","YKT6 v-SNARE homolog"
7422,"TMOD3",0.396,-0.035,"NA","tropomodulin 3"
7423,"CLDN11",0.396,-0.07,"NA","claudin 11"
7424,"OR5M3",0.3959,0.035,"NA","olfactory receptor family 5 subfamily M member 3"
7425,"SLC13A2",0.3958,-0.215,"NA","solute carrier family 13 member 2"
7426,"PRDM11",0.3958,-0.02,"TF","PR/SET domain 11"
7427,"TSSK2",0.3957,-0.065,"Kinase","testis specific serine kinase 2"
7428,"OR6C3",0.3956,-0.08,"NA","olfactory receptor family 6 subfamily C member 3"
7429,"PCDHGB7",0.3956,0.065,"NA","protocadherin gamma subfamily B"
7430,"NUTF2",0.3955,-1.49,"NA","nuclear transport factor 2"
7431,"C12orf54",0.3955,0.01,"NA","chromosome 12 open reading frame 54"
7432,"RAB11FIP5",0.3954,0.02,"NA","RAB11 family interacting protein 5"
7433,"EFR3A",0.3954,-0.285,"NA","EFR3 homolog A"
7434,"TBX1",0.3953,-0.225,"TF","T-box transcription factor 1"
7435,"EPB41L4B",0.3953,0.08,"NA","erythrocyte membrane protein band 4.1 like 4B"
7436,"NSD3",0.3952,0.2,"NA","nuclear receptor binding SET domain protein 3"
7437,"CHRM1",0.3951,-0.085,"NA","cholinergic receptor muscarinic 1"
7438,"DDX39B",0.3951,-0.76,"NA","DExD-box helicase 39B"
7439,"ZNF8",0.395,0.015,"TF","zinc finger protein 8"
7440,"PLD6",0.395,-0.045,"NA","phospholipase D family member 6"
7441,"C21orf62",0.3949,0.035,"NA","chromosome 21 open reading frame 62"
7442,"ELAVL2",0.3948,0.04,"NA","ELAV like RNA binding protein 2"
7443,"ACKR4",0.3948,-0.085,"NA","atypical chemokine receptor 4"
7444,"OR6P1",0.3947,0.04,"NA","olfactory receptor family 6 subfamily P member 1"
7445,"OR5M9",0.3947,0.01,"NA","olfactory receptor family 5 subfamily M member 9"
7446,"MPHOSPH9",0.3946,-0.095,"NA","M-phase phosphoprotein 9"
7447,"FBXL15",0.3946,-0.095,"NA","F-box and leucine rich repeat protein 15"
7448,"RBM7",0.3945,-0.07,"NA","RNA binding motif protein 7"
7449,"EEFSEC",0.3944,-0.495,"NA","eukaryotic elongation factor"
7450,"TMEM74B",0.3944,0.11,"NA","transmembrane protein 74B"
7451,"HSD17B14",0.3943,0.045,"NA","NA"
7452,"NPAS3",0.3943,-0.145,"TF","neuronal PAS domain protein 3"
