"Rank","Genes ranked in the direction 1","'-log10(RRA score)'","KO essential score","Brief feature","Description"
2060,"SERTAD4",0.952,0.065,"NA","SERTA domain containing 4"
2061,"TMEM87B",0.9515,-0.035,"NA","transmembrane protein 87B"
2062,"STK32B",0.9509,0,"Kinase","serine/threonine kinase 32B"
2063,"MBTPS2",0.9508,-0.645,"NA","membrane bound transcription factor peptidase"
2064,"TGM7",0.9507,-0.02,"NA","transglutaminase 7"
2065,"SYCE1L",0.9505,0.02,"NA","synaptonemal complex central element protein 1 like"
2066,"DNAH11",0.9501,0.02,"NA","dynein axonemal heavy chain 11"
2067,"JTB",0.9501,-0.18,"NA","jumping translocation breakpoint"
2068,"TSPAN12",0.9495,0.125,"NA","tetraspanin 12"
2069,"RNASEH1",0.9494,-0.14,"NA","ribonuclease H1"
2070,"ETFBKMT",0.9494,-0.01,"NA","electron transfer flavoprotein subunit beta lysine methyltransferase"
2071,"CBLN1",0.9487,-0.21,"NA","cerebellin 1 precursor"
2072,"CREB5",0.9487,0.285,"TF","cAMP responsive element binding protein 5"
2073,"MTFR1",0.9487,-0.075,"NA","mitochondrial fission regulator 1"
2074,"NARF",0.9481,-0.055,"NA","nuclear prelamin A recognition factor"
2075,"STK32A",0.9481,0.12,"Kinase","serine/threonine kinase 32A"
2076,"CAD",0.9479,-0.445,"NA","carbamoyl-phosphate synthetase 2"
2077,"OR2B11",0.9479,-0.045,"NA","olfactory receptor family 2 subfamily B member 11"
2078,"KRT17",0.9477,-0.06,"NA","keratin 17"
2079,"LLPH",0.9477,-0.355,"NA","LLP homolog"
2080,"CEP57L1",0.9474,-0.055,"NA","centrosomal protein 57 like 1"
2081,"MRC2",0.9474,-0.01,"NA","mannose receptor C type 2"
2082,"SSTR3",0.9474,-0.035,"NA","somatostatin receptor 3"
2083,"FNIP1",0.9471,-0.02,"NA","folliculin interacting protein 1"
2084,"ENPP4",0.9467,0.095,"NA","ectonucleotide pyrophosphatase/phosphodiesterase 4"
2085,"TOP2A",0.9466,-1.77,"NA","DNA topoisomerase II alpha"
2086,"GBP3",0.9461,-0.095,"NA","guanylate binding protein 3"
2087,"MED20",0.9461,-1.14,"NA","mediator complex subunit 20"
2088,"PCNX1",0.946,-0.035,"NA","pecanex 1"
2089,"RUNDC3A",0.946,-0.12,"NA","RUN domain containing 3A"
2090,"PRM2",0.9459,-0.14,"NA","protamine 2"
2091,"FRAS1",0.9454,0.13,"NA","Fraser extracellular matrix complex subunit 1"
2092,"OPN1MW3",0.9447,,,
2093,"HAS2",0.9447,0.02,"NA","hyaluronan synthase 2"
2094,"ZMYM6",0.9447,0.055,"NA","zinc finger MYM-type containing 6"
2095,"IMMT",0.9443,-0.395,"NA","inner membrane mitochondrial protein"
2096,"ZNF778",0.944,-0.03,"TF","zinc finger protein 778"
2097,"PHLPP1",0.9439,0.045,"NA","PH domain and leucine rich repeat protein phosphatase 1"
2098,"PLEK2",0.9434,-0.085,"NA","pleckstrin 2"
2099,"GTSF1L",0.9434,0.065,"NA","gametocyte specific factor 1 like"
2100,"BOLL",0.9427,0.075,"NA","boule homolog"
2101,"SLU7",0.9426,-1.28,"NA","SLU7 homolog"
2102,"TMEM178B",0.9426,0.03,"NA","transmembrane protein 178B"
2103,"PRADC1",0.9424,-0.215,"NA","protease associated domain containing 1"
2104,"IQCA1",0.942,-0.06,"NA","IQ motif containing with AAA domain 1"
2105,"GSC",0.942,0.075,"TF","goosecoid homeobox"
2106,"TIMP2",0.9414,-0.01,"NA","TIMP metallopeptidase inhibitor 2"
2107,"RUNX3",0.941,-0.145,"TF","RUNX family transcription factor 3"
2108,"GTF3C4",0.9408,-0.695,"NA","general transcription factor IIIC subunit 4"
2109,"KCNT2",0.9407,-0.03,"NA","potassium sodium-activated channel subfamily T member 2"
2110,"NR2C1",0.9406,-0.16,"TF","nuclear receptor subfamily 2 group C member 1"
2111,"LRRC74A",0.9405,-0.02,"NA","leucine rich repeat containing 74A"
2112,"LCN2",0.94,-0.115,"NA","lipocalin 2"
2113,"SEMG2",0.94,0.08,"NA","semenogelin 2"
2114,"DENND2D",0.9397,-0.185,"NA","DENN domain containing 2D"
2115,"FAM20B",0.9397,-0.03,"NA","FAM20B glycosaminoglycan xylosylkinase"
2116,"HECTD3",0.9394,-0.165,"NA","HECT domain E3 ubiquitin protein ligase 3"
2117,"PSMD14",0.9388,-1.5,"NA","proteasome 26S subunit"
2118,"STARD13",0.9387,0.06,"NA","StAR related lipid transfer domain containing 13"
2119,"PSMC6",0.938,-1.395,"NA","proteasome 26S subunit"
2120,"TRPC3",0.9379,0,"NA","transient receptor potential cation channel subfamily C member 3"
2121,"ARHGEF3",0.9375,-0.045,"NA","Rho guanine nucleotide exchange factor 3"
2122,"GBX2",0.9374,-0.09,"TF","gastrulation brain homeobox 2"
2123,"DPPA2",0.9374,-0.235,"NA","developmental pluripotency associated 2"
2124,"OR2H2",0.9372,0.075,"NA","olfactory receptor family 2 subfamily H member 2"
2125,"PRPF18",0.9369,-0.725,"NA","pre-mRNA processing factor 18"
2126,"CD2BP2",0.9367,-0.43,"NA","CD2 cytoplasmic tail binding protein 2"
2127,"FKBP1A",0.9367,-0.295,"NA","FKBP prolyl isomerase 1A"
2128,"MFRP",0.9367,-0.035,"NA","membrane frizzled-related protein"
2129,"ZNF438",0.9366,0.15,"TF","zinc finger protein 438"
2130,"DMRTB1",0.9364,-0.22,"TF","DMRT like family B with proline rich C-terminal 1"
2131,"NUSAP1",0.9361,-0.185,"NA","nucleolar and spindle associated protein 1"
2132,"TNFAIP8",0.9361,0.045,"NA","TNF alpha induced protein 8"
2133,"SQSTM1",0.9357,-0.07,"NA","sequestosome 1"
2134,"CALR",0.9356,-0.13,"NA","calreticulin"
2135,"NRAS",0.9354,-0.2,"NA","NRAS proto-oncogene"
2136,"INPP4A",0.9354,-0.135,"NA","inositol polyphosphate-4-phosphatase type I A"
2137,"SLC52A2",0.9354,-0.17,"NA","solute carrier family 52 member 2"
2138,"GARIN2",0.9353,,,
2139,"PSMB5",0.9351,-1.685,"NA","proteasome 20S subunit beta 5"
2140,"WDR12",0.9351,-1.14,"NA","WD repeat domain 12"
2141,"RESF1",0.9349,,,
2142,"MRPL23",0.9348,-0.515,"NA","mitochondrial ribosomal protein L23"
2143,"DSP",0.9344,-0.04,"NA","desmoplakin"
2144,"PRKAR2A",0.9341,-0.29,"NA","protein kinase cAMP-dependent type II regulatory subunit alpha"
2145,"GABRG2",0.934,0.15,"NA","gamma-aminobutyric acid type A receptor subunit gamma2"
2146,"IL1RN",0.9334,-0.075,"NA","interleukin 1 receptor antagonist"
2147,"M6PR",0.9334,0.025,"NA","mannose-6-phosphate receptor"
2148,"ZPBP2",0.9328,-0.18,"NA","zona pellucida binding protein 2"
2149,"NOP56",0.9321,-1.43,"NA","NOP56 ribonucleoprotein"
2150,"H2BC11",0.9318,,,
2151,"PIGW",0.9315,-0.255,"NA","phosphatidylinositol glycan anchor biosynthesis class W"
2152,"TM4SF20",0.9315,0.07,"NA","transmembrane 4 L six family member 20"
2153,"DTYMK",0.9308,-1.505,"NA","deoxythymidylate kinase"
2154,"MAT1A",0.9308,-0.065,"NA","methionine adenosyltransferase 1A"
2155,"GUCY1B1",0.9302,0.12,"NA","guanylate cyclase 1 soluble subunit beta 1"
2156,"IGSF21",0.9302,0.04,"NA","immunoglobin superfamily member 21"
2157,"ZCCHC7",0.9301,-0.105,"NA","zinc finger CCHC-type containing 7"
2158,"S1PR2",0.9295,0.1,"NA","sphingosine-1-phosphate receptor 2"
2159,"ACO1",0.9289,0.035,"NA","aconitase 1"
2160,"TMEM101",0.9288,-0.1,"NA","NA"
2161,"DEPDC5",0.9283,0.125,"NA","DEP domain containing 5"
2162,"MINK1",0.9283,0.04,"Kinase","misshapen like kinase 1"
2163,"DNAH9",0.928,-0.04,"NA","dynein axonemal heavy chain 9"
2164,"ZC3H10",0.9276,-0.22,"NA","NA"
2165,"TELO2",0.9273,-0.805,"NA","telomere maintenance 2"
2166,"FBXW12",0.927,-0.195,"NA","F-box and WD repeat domain containing 12"
2167,"XAB2",0.927,-2.05,"NA","NA"
2168,"RPS15A",0.927,-1.515,"NA","ribosomal protein S15a"
2169,"SLAMF1",0.9268,-0.075,"NA","signaling lymphocytic activation molecule family member 1"
2170,"POLR2E",0.9265,-1.73,"NA","RNA polymerase II subunit E"
2171,"NR6A1",0.9263,-0.09,"TF","nuclear receptor subfamily 6 group A member 1"
2172,"TMEM87A",0.9263,-0.125,"NA","NA"
2173,"NAGLU",0.9257,-0.305,"NA","N-acetyl-alpha-glucosaminidase"
2174,"SLC10A7",0.9255,-0.04,"NA","solute carrier family 10 member 7"
2175,"RPS3",0.9252,-1.655,"NA","ribosomal protein S3"
2176,"GAREM1",0.925,-0.08,"NA","GRB2 associated regulator of MAPK1 subtype 1"
2177,"TRAPPC1",0.9247,-1.305,"NA","trafficking protein particle complex 1"
2178,"ANXA9",0.9244,-0.215,"NA","annexin A9"
2179,"FKBP4",0.9238,-0.08,"NA","FKBP prolyl isomerase 4"
2180,"KCTD16",0.9238,-0.1,"NA","potassium channel tetramerization domain containing 16"
2181,"TENT2",0.9234,0.05,"NA","terminal nucleotidyltransferase 2"
2182,"ANK1",0.9231,0.035,"NA","ankyrin 1"
2183,"ZDHHC9",0.923,0.11,"NA","zinc finger DHHC-type palmitoyltransferase 9"
2184,"C5AR1",0.9228,0.1,"NA","complement C5a receptor 1"
2185,"SYNPO2L",0.9228,-0.32,"NA","synaptopodin 2 like"
2186,"PPWD1",0.9226,-1.62,"NA","peptidylprolyl isomerase domain and WD repeat containing 1"
2187,"RBM7",0.9225,-0.07,"NA","RNA binding motif protein 7"
2188,"C4BPA",0.9222,0.08,"NA","complement component 4 binding protein alpha"
2189,"FANCG",0.922,0.005,"NA","FA complementation group G"
2190,"EPRS1",0.9219,,,
2191,"VN1R4",0.9217,0.06,"NA","vomeronasal 1 receptor 4"
2192,"S100A1",0.9214,-0.065,"NA","S100 calcium binding protein A1"
2193,"GDF2",0.9212,-0.01,"NA","growth differentiation factor 2"
2194,"LBX2",0.9212,-0.04,"TF","ladybird homeobox 2"
2195,"DAZL",0.921,-0.18,"NA","deleted in azoospermia like"
2196,"AQP1",0.9209,0.005,"NA","aquaporin 1 (Colton blood group)"
2197,"ATG7",0.9209,0.08,"NA","autophagy related 7"
2198,"ARL15",0.9206,-0.01,"NA","ADP ribosylation factor like GTPase 15"
2199,"TMEM196",0.9206,-0.01,"NA","transmembrane protein 196"
2200,"PDE5A",0.9206,0,"NA","phosphodiesterase 5A"
2201,"CFAP221",0.9199,-0.155,"NA","cilia and flagella associated protein 221"
2202,"MED11",0.9199,-1.74,"NA","mediator complex subunit 11"
2203,"ADGRG5",0.9198,0.005,"NA","adhesion G protein-coupled receptor G5"
2204,"PLPPR4",0.9194,-0.085,"NA","phospholipid phosphatase related 4"
2205,"MLIP",0.9193,-0.035,"NA","muscular LMNA interacting protein"
2206,"FBXO43",0.9193,-0.11,"NA","F-box protein 43"
2207,"IL36B",0.9193,-0.18,"NA","interleukin 36 beta"
2208,"FLI1",0.9191,-0.05,"TF","Fli-1 proto-oncogene"
2209,"ALOX12",0.919,0.1,"NA","arachidonate 12-lipoxygenase"
2210,"AHCYL2",0.9188,-0.095,"NA","adenosylhomocysteinase like 2"
2211,"ERCC8",0.9187,-0.01,"NA","ERCC excision repair 8"
2212,"KLHL20",0.9187,-0.105,"NA","kelch like family member 20"
2213,"BID",0.9181,0,"NA","BH3 interacting domain death agonist"
2214,"UNC93A",0.9181,0.095,"NA","unc-93 homolog A"
2215,"SLC2A2",0.9174,0.035,"NA","solute carrier family 2 member 2"
2216,"PSG5",0.9172,-0.145,"NA","pregnancy specific beta-1-glycoprotein 5"
2217,"ADPGK",0.9169,-0.045,"NA","ADP dependent glucokinase"
2218,"MTF1",0.9168,-0.205,"TF","metal regulatory transcription factor 1"
2219,"YES1",0.9168,0.025,"Kinase","YES proto-oncogene 1"
2220,"GIMAP5",0.9166,0.2,"NA","GTPase"
2221,"OMP",0.9163,0.02,"NA","olfactory marker protein"
2222,"INPP5A",0.9162,-0.035,"NA","inositol polyphosphate-5-phosphatase A"
2223,"NUP205",0.9159,-1.065,"NA","nucleoporin 205"
2224,"JMJD6",0.9155,-0.485,"NA","jumonji domain containing 6"
2225,"LRRC74B",0.9155,,,
2226,"LEPROTL1",0.9153,0.145,"NA","leptin receptor overlapping transcript like 1"
2227,"S100A10",0.9153,-0.01,"NA","S100 calcium binding protein A10"
2228,"USP26",0.9149,0.19,"NA","ubiquitin specific peptidase 26"
2229,"GDNF",0.9147,0.02,"NA","glial cell derived neurotrophic factor"
2230,"HRAS",0.9143,-0.16,"NA","HRas proto-oncogene"
2231,"ZDHHC1",0.9143,-0.055,"NA","zinc finger DHHC-type containing 1"
2232,"PLA2G4F",0.914,-0.225,"NA","NA"
2233,"ADAMTS2",0.9139,-0.005,"NA","ADAM metallopeptidase with thrombospondin type 1 motif 2"
2234,"CXCL12",0.9137,-0.08,"NA","C-X-C motif chemokine ligand 12"
2235,"CFAP47",0.9132,0.07,"NA","cilia and flagella associated protein 47"
2236,"KCNS3",0.913,0.08,"NA","potassium voltage-gated channel modifier subfamily S member 3"
2237,"SUPT16H",0.913,-1.555,"NA","SPT16 homolog"
2238,"HEPACAM",0.9129,0.16,"NA","hepatic and glial cell adhesion molecule"
2239,"RBAK",0.9128,0.01,"TF","RB associated KRAB zinc finger"
2240,"KIF3B",0.9124,0.015,"NA","kinesin family member 3B"
2241,"JSRP1",0.9124,-0.09,"NA","junctional sarcoplasmic reticulum protein 1"
2242,"BHMT",0.9118,-0.105,"NA","betaine--homocysteine S-methyltransferase"
2243,"USP25",0.9115,0.03,"NA","ubiquitin specific peptidase 25"
2244,"SLC5A11",0.9113,0.005,"NA","solute carrier family 5 member 11"
2245,"ZNF846",0.9113,-0.08,"TF","zinc finger protein 846"
2246,"HTR1B",0.9112,-0.03,"NA","5-hydroxytryptamine receptor 1B"
2247,"GNMT",0.9112,-0.075,"NA","glycine N-methyltransferase"
2248,"MRPS15",0.9107,-0.375,"NA","mitochondrial ribosomal protein S15"
2249,"GPR35",0.9101,0.04,"NA","G protein-coupled receptor 35"
2250,"DDX5",0.9099,-0.77,"ChroRemod","DEAD-box helicase 5"
2251,"TAGLN3",0.9093,-0.105,"NA","transgelin 3"
2252,"WBP1L",0.9093,-0.265,"NA","WW domain binding protein 1 like"
2253,"PSMG3",0.9088,-1.09,"NA","proteasome assembly chaperone 3"
2254,"SLITRK2",0.9088,0.03,"NA","SLIT and NTRK like family member 2"
2255,"HCN3",0.9087,0.005,"NA","hyperpolarization activated cyclic nucleotide gated potassium channel 3"
2256,"TMEM167B",0.9085,-0.145,"NA","transmembrane protein 167B"
2257,"DPY19L2",0.9081,-0.43,"NA","dpy-19 like 2"
2258,"NT5C1B",0.9081,0.12,"NA","5'-nucleotidase"
2259,"ABCB6",0.9078,-0.025,"NA","ATP binding cassette subfamily B member 6 (Langereis blood group)"
2260,"MC4R",0.9077,0.085,"NA","melanocortin 4 receptor"
2261,"PKN1",0.9075,-0.05,"ChroRemod","protein kinase N1"
2262,"ZIC1",0.9075,0.095,"TF","Zic family member 1"
2263,"IL15RA",0.9069,-0.045,"NA","interleukin 15 receptor subunit alpha"
2264,"TEFM",0.9067,-0.515,"NA","transcription elongation factor"
2265,"SAMD5",0.9064,0.125,"NA","sterile alpha motif domain containing 5"
2266,"EPHX2",0.9063,0.03,"NA","epoxide hydrolase 2"
2267,"RHOG",0.9063,-0.255,"NA","ras homolog family member G"
2268,"UBE2J2",0.9063,-0.335,"NA","ubiquitin conjugating enzyme E2 J2"
2269,"DAB2IP",0.9061,0.275,"NA","DAB2 interacting protein"
2270,"MPZL1",0.9061,-0.155,"NA","myelin protein zero like 1"
2271,"ATP6V1C1",0.906,-0.85,"NA","ATPase H+ transporting V1 subunit C1"
2272,"KCNA4",0.906,-0.055,"NA","potassium voltage-gated channel subfamily A member 4"
2273,"BORCS5",0.9056,-0.26,"NA","BLOC-1 related complex subunit 5"
2274,"GPX5",0.9055,0.175,"NA","glutathione peroxidase 5"
2275,"TLX3",0.9052,-0.165,"TF","T cell leukemia homeobox 3"
2276,"TBXAS1",0.9045,-0.055,"NA","thromboxane A synthase 1"
2277,"EPG5",0.9044,-0.095,"NA","ectopic P-granules autophagy protein 5 homolog"
2278,"DYNC2LI1",0.9042,-0.085,"NA","dynein cytoplasmic 2 light intermediate chain 1"
2279,"SBK2",0.9039,-0.035,"Kinase","SH3 domain binding kinase family member 2"
2280,"CHUK",0.9038,-0.095,"Kinase","component of inhibitor of nuclear factor kappa B kinase complex"
2281,"RNF148",0.9038,0.075,"NA","ring finger protein 148"
2282,"BBS4",0.9032,0.16,"NA","Bardet-Biedl syndrome 4"
2283,"OR10AD1",0.9031,-0.01,"NA","olfactory receptor family 10 subfamily AD member 1"
2284,"KCND3",0.9026,-0.235,"NA","potassium voltage-gated channel subfamily D member 3"
2285,"STX12",0.902,-0.105,"NA","syntaxin 12"
2286,"PANK4",0.902,0,"NA","pantothenate kinase 4 (inactive)"
2287,"IGF1R",0.9019,-0.285,"Kinase","insulin like growth factor 1 receptor"
2288,"FAM81A",0.9017,0.06,"NA","family with sequence similarity 81 member A"
2289,"ITK",0.9008,0.03,"Kinase","IL2 inducible T cell kinase"
2290,"PLD6",0.9008,-0.045,"NA","phospholipase D family member 6"
2291,"FYB1",0.9006,0.095,"NA","FYN binding protein 1"
2292,"FOXB1",0.9005,0.09,"TF","forkhead box B1"
2293,"HTR7",0.9003,-0.155,"NA","5-hydroxytryptamine receptor 7"
2294,"TMEM43",0.9002,0.105,"NA","transmembrane protein 43"
2295,"TRMU",0.8996,-0.09,"NA","tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase"
2296,"IPO7",0.8994,-0.89,"NA","importin 7"
2297,"CCDC9B",0.899,-0.075,"NA","coiled-coil domain containing 9B"
2298,"OR12D3",0.8987,0.065,"NA","olfactory receptor family 12 subfamily D member 3"
2299,"PLXNB2",0.8987,0.12,"NA","plexin B2"
2300,"CD320",0.8984,-0.06,"NA","CD320 molecule"
2301,"KRTAP15-1",0.8981,,,
2302,"ARPP19",0.8978,-0.305,"NA","cAMP regulated phosphoprotein 19"
2303,"ZNF99",0.8978,-0.005,"TF","zinc finger protein 99"
2304,"H1-7",0.8973,,,
2305,"CDC42BPB",0.8972,-0.04,"Kinase","CDC42 binding protein kinase beta"
2306,"IL4R",0.897,0.015,"NA","interleukin 4 receptor"
2307,"HADH",0.8966,-0.14,"NA","hydroxyacyl-CoA dehydrogenase"
2308,"SPACA6",0.8966,,,
2309,"AGGF1",0.8964,0.035,"NA","angiogenic factor with G-patch and FHA domains 1"
2310,"GJC3",0.8964,-0.06,"NA","gap junction protein gamma 3"
2311,"LTN1",0.8963,-0.15,"NA","listerin E3 ubiquitin protein ligase 1"
2312,"SF3B4",0.8963,-1.75,"NA","splicing factor 3b subunit 4"
2313,"ALAD",0.8961,-0.095,"NA","aminolevulinate dehydratase"
2314,"FLVCR1",0.896,0.02,"NA","FLVCR heme transporter 1"
2315,"RBM15B",0.8958,-0.11,"NA","RNA binding motif protein 15B"
2316,"CCDC110",0.8954,0.12,"NA","coiled-coil domain containing 110"
2317,"PUM1",0.8954,-0.235,"NA","pumilio RNA binding family member 1"
2318,"SPPL2C",0.8952,-0.21,"NA","signal peptide peptidase like 2C"
2319,"P3H1",0.895,-0.255,"NA","prolyl 3-hydroxylase 1"
2320,"ITGA5",0.8949,-0.135,"NA","integrin subunit alpha 5"
2321,"MAPKAPK5",0.8948,-0.195,"Kinase","MAPK activated protein kinase 5"
2322,"PALMD",0.8948,-0.065,"NA","palmdelphin"
2323,"LSM2",0.8944,-1.885,"NA","LSM2 homolog"
2324,"LMCD1",0.8942,0.155,"ChroRemod","LIM and cysteine rich domains 1"
2325,"SURF6",0.8942,-0.765,"NA","surfeit 6"
2326,"KANK1",0.8941,0.13,"NA","KN motif and ankyrin repeat domains 1"
2327,"PRND",0.8936,0.15,"NA","prion like protein doppel"
2328,"FGL1",0.8933,0.02,"NA","fibrinogen like 1"
2329,"FPGS",0.8931,-0.5,"NA","folylpolyglutamate synthase"
2330,"EMILIN3",0.893,-0.005,"NA","multimerin 2"
2331,"FAM149B1",0.893,0.035,"NA","family with sequence similarity 149 member B1"
2332,"UBA6",0.8924,-0.405,"NA","ubiquitin like modifier activating enzyme 6"
2333,"USH2A",0.8924,0.14,"NA","usherin"
2334,"TIMM44",0.8924,-0.975,"NA","translocase of inner mitochondrial membrane 44"
2335,"ZNF823",0.8924,0.04,"TF","zinc finger protein 823"
2336,"SLC6A7",0.8922,-0.115,"NA","solute carrier family 6 member 7"
2337,"SIRPG",0.8918,0.055,"NA","signal regulatory protein gamma"
2338,"TP53BP2",0.8918,-0.1,"ChroRemod","tumor protein p53 binding protein 2"
2339,"ZAP70",0.8918,-0.015,"Kinase","zeta chain of T cell receptor associated protein kinase 70"
2340,"NREP",0.8912,0.145,"NA","neuronal regeneration related protein"
2341,"LSM14A",0.8911,-0.39,"NA","LSM14A mRNA processing body assembly factor"
2342,"TAS2R10",0.8908,-0.195,"NA","taste 2 receptor member 10"
2343,"SOS1",0.8906,-0.34,"NA","SOS Ras/Rac guanine nucleotide exchange factor 1"
2344,"VN1R5",0.8906,,,
2345,"CCDC74B",0.8905,-0.265,"NA","coiled-coil domain containing 74B"
2346,"SPOP",0.8905,-0.14,"NA","speckle type BTB/POZ protein"
2347,"TAF2",0.8904,-0.71,"NA","TATA-box binding protein associated factor 2"
2348,"COLGALT2",0.89,-0.03,"NA","collagen beta(1-O)galactosyltransferase 2"
2349,"GON7",0.89,-0.12,"NA","GON7 subunit of KEOPS complex"
2350,"FGD3",0.8896,-0.01,"NA","FYVE"
2351,"IQGAP3",0.8895,-0.17,"NA","IQ motif containing GTPase activating protein 3"
2352,"TRIM41",0.8895,-0.04,"NA","tripartite motif containing 41"
2353,"GPRC5C",0.8891,0.065,"NA","G protein-coupled receptor class C group 5 member C"
2354,"UBE2I",0.889,-1.58,"NA","ubiquitin conjugating enzyme E2 I"
2355,"SFSWAP",0.8889,-0.835,"NA","splicing factor SWAP"
2356,"ZRANB2",0.8889,-0.455,"NA","zinc finger RANBP2-type containing 2"
2357,"POU6F2",0.8885,0.115,"TF","POU class 6 homeobox 2"
2358,"TOR3A",0.8884,-0.02,"NA","torsin family 3 member A"
2359,"TOPAZ1",0.8883,0.04,"NA","testis and ovary specific PAZ domain containing 1"
2360,"YME1L1",0.888,-0.325,"NA","YME1 like 1 ATPase"
2361,"ATP13A5",0.8877,0.145,"NA","ATPase 13A5"
2362,"MME",0.8871,-0.03,"NA","membrane metalloendopeptidase"
2363,"ABHD6",0.8867,0.08,"NA","abhydrolase domain containing 6"
2364,"HAUS6",0.8867,-1.14,"NA","HAUS augmin like complex subunit 6"
2365,"DDX60",0.8865,0.08,"NA","DExD/H-box helicase 60"
2366,"HSP90B1",0.8865,-0.59,"NA","heat shock protein 90 beta family member 1"
2367,"AGBL2",0.8862,-0.05,"NA","ATP/GTP binding protein like 2"
2368,"AMPD1",0.8859,-0.105,"NA","adenosine monophosphate deaminase 1"
2369,"LAT",0.8859,-0.06,"NA","linker for activation of T cells"
2370,"UTY",0.8854,,,
2371,"MAP3K15",0.885,,,
2372,"LAIR2",0.8848,-0.135,"NA","leukocyte associated immunoglobulin like receptor 2"
2373,"AMIGO2",0.8842,0.07,"NA","adhesion molecule with Ig like domain 2"
2374,"PCDHB6",0.8842,-0.03,"NA","protocadherin beta 6"
2375,"ADGRG2",0.884,0.125,"NA","adhesion G protein-coupled receptor G2"
2376,"OR51B6",0.884,0.005,"NA","olfactory receptor family 51 subfamily B member 6"
2377,"DDIAS",0.8836,0.1,"NA","DNA damage induced apoptosis suppressor"
2378,"H2AZ1",0.8836,,,
2379,"NIPAL4",0.883,0.19,"NA","NIPA like domain containing 4"
2380,"PRR5L",0.883,0.075,"NA","proline rich 5 like"
2381,"LTA",0.8828,-0.08,"NA","lymphotoxin alpha"
2382,"ACTR3",0.8825,-0.54,"NA","actin related protein 3"
2383,"CASC3",0.8825,-0.43,"NA","CASC3 exon junction complex subunit"
2384,"ACSM3",0.8819,-0.045,"NA","acyl-CoA synthetase medium chain family member 3"
2385,"TXNDC17",0.8819,-0.21,"NA","thioredoxin domain containing 17"
2386,"TANGO2",0.8816,-0.15,"NA","transport and golgi organization 2 homolog"
2387,"CAPN5",0.8813,-0.105,"NA","calpain 5"
2388,"TMEM141",0.8813,-0.065,"NA","transmembrane protein 141"
2389,"TENT5A",0.8813,-0.04,"NA","terminal nucleotidyltransferase 5A"
2390,"B4GALT7",0.8807,-0.105,"NA","beta-1"
2391,"SLC35C1",0.8801,-0.075,"NA","solute carrier family 35 member C1"
2392,"GCGR",0.8801,0.025,"NA","glucagon receptor"
2393,"ERICH6B",0.8796,0.125,"NA","glutamate rich 6B"
2394,"KCNIP2",0.8796,-0.035,"NA","potassium voltage-gated channel interacting protein 2"
2395,"GUF1",0.8796,0.005,"NA","GUF1 homolog"
2396,"RPRD2",0.8796,-0.33,"NA","regulation of nuclear pre-mRNA domain containing 2"
2397,"PPP1R3E",0.879,-0.325,"NA","protein phosphatase 1 regulatory subunit 3E"
2398,"PHKA2",0.879,0.04,"NA","phosphorylase kinase regulatory subunit alpha 2"
2399,"RAB19",0.879,0.04,"NA","RAB19"
2400,"PMVK",0.8788,-0.405,"NA","phosphomevalonate kinase"
2401,"RIMKLA",0.8785,-0.015,"NA","ribosomal modification protein rimK like family member A"
2402,"OR4D11",0.8784,0.035,"NA","olfactory receptor family 4 subfamily D member 11"
2403,"ORAI3",0.8784,-0.205,"NA","ORAI calcium release-activated calcium modulator 3"
2404,"COPA",0.8784,-1.805,"NA","COPI coat complex subunit alpha"
2405,"HSPB8",0.8784,0.105,"Kinase","NA"
2406,"C7orf57",0.8779,0.05,"NA","chromosome 7 open reading frame 57"
2407,"PPP1R15A",0.8779,-0.115,"NA","protein phosphatase 1 regulatory subunit 15A"
2408,"OCIAD1",0.8773,-0.02,"NA","OCIA domain containing 1"
2409,"CHRNA3",0.8773,0.095,"NA","cholinergic receptor nicotinic alpha 3 subunit"
2410,"SMIM6",0.877,-0.09,"NA","small integral membrane protein 6"
2411,"SFRP1",0.8769,0.08,"NA","secreted frizzled related protein 1"
2412,"TMEM121B",0.8769,-0.085,"NA","transmembrane protein 121B"
2413,"CEMIP2",0.8767,-0.015,"NA","cell migration inducing hyaluronidase 2"
2414,"FASTKD5",0.8767,-0.335,"NA","FAST kinase domains 5"
2415,"MT3",0.8764,0.11,"NA","metallothionein 3"
2416,"ADGRF3",0.8761,0.06,"NA","adhesion G protein-coupled receptor F3"
2417,"C7orf25",0.8759,0.075,"NA","chromosome 7 open reading frame 25"
2418,"RASD2",0.8756,-0.2,"NA","RASD family member 2"
2419,"C11orf58",0.8756,-0.065,"NA","chromosome 11 open reading frame 58"
2420,"NPAT",0.8752,-0.94,"ChroRemod","nuclear protein"
2421,"PJVK",0.875,0.04,"NA","pejvakin"
2422,"STX3",0.875,0.05,"NA","syntaxin 3"
2423,"BST2",0.8744,0.045,"NA","bone marrow stromal cell antigen 2"
2424,"LURAP1L",0.8744,0.195,"NA","leucine rich adaptor protein 1 like"
2425,"TNRC6C",0.8743,-0.04,"NA","trinucleotide repeat containing adaptor 6C"
2426,"DEFB116",0.8739,-0.025,"NA","defensin beta 116"
2427,"CHL1",0.8733,0.035,"NA","cell adhesion molecule L1 like"
2428,"CYP3A7-CYP3A51P",0.8731,,,
2429,"ASIC3",0.8727,0.145,"NA","acid sensing ion channel subunit 3"
