"Rank","Genes ranked in the direction 1","'-log10(RRA score)'","KO essential score","Brief feature","Description"
15044,"MRPL51",0,-0.43,"NA","mitochondrial ribosomal protein L51"
15045,"MRPL9",0,-0.59,"NA","mitochondrial ribosomal protein L9"
15046,"MRPS11",0,-0.7,"NA","mitochondrial ribosomal protein S11"
15047,"MRPS2",0,-0.47,"NA","mitochondrial ribosomal protein S2"
15048,"MRPS23",0,-0.68,"NA","mitochondrial ribosomal protein S23"
15049,"MRPS24",0,-0.565,"NA","mitochondrial ribosomal protein S24"
15050,"MRPS27",0,-0.55,"NA","mitochondrial ribosomal protein S27"
15051,"MRPS30",0,-0.365,"NA","mitochondrial ribosomal protein S30"
15052,"MRPS31",0,-0.47,"NA","mitochondrial ribosomal protein S31"
15053,"MRPS34",0,-0.67,"NA","mitochondrial ribosomal protein S34"
15054,"MRRF",0,0,"NA","mitochondrial ribosome recycling factor"
15055,"MS4A15",0,-0.185,"NA","membrane spanning 4-domains A15"
15056,"MS4A3",0,-0.07,"NA","membrane spanning 4-domains A3"
15057,"MS4A8",0,-0.17,"NA","membrane spanning 4-domains A8"
15058,"MSANTD1",0,0.115,"TF","Myb/SANT DNA binding domain containing 1"
15059,"MSANTD2",0,-0.02,"NA","Myb/SANT DNA binding domain containing 2"
15060,"MSC",0,-0.02,"TF","musculin"
15061,"MSGN1",0,0.07,"TF","mesogenin 1"
15062,"MSH6",0,0.015,"NA","mutS homolog 6"
15063,"MSI2",0,-0.15,"NA","musashi RNA binding protein 2"
15064,"MSL1",0,-0.455,"NA","MSL complex subunit 1"
15065,"MSN",0,-0.05,"NA","moesin"
15066,"MSR1",0,0.145,"NA","macrophage scavenger receptor 1"
15067,"MSTN",0,0.005,"NA","myostatin"
15068,"MSX1",0,0.06,"TF","msh homeobox 1"
15069,"MSX2",0,0.04,"TF","msh homeobox 2"
15070,"MT1X",0,-0.105,"NA","metallothionein 1X"
15071,"MT4",0,0.07,"NA","metallothionein 4"
15072,"MTA3",0,-0.005,"TF","metastasis associated 1 family member 3"
15073,"MTCH1",0,0.01,"NA","mitochondrial carrier 1"
15074,"MTCP1",0,0.175,"NA","C-X9-C motif containing 4"
15075,"MTERF1",0,0.03,"TF","mitochondrial transcription termination factor 1"
15076,"MTFR1L",0,-0.03,"NA","mitochondrial fission regulator 1 like"
15077,"MTG2",0,-0.54,"NA","mitochondrial ribosome associated GTPase 2"
15078,"MTHFD2",0,0.005,"NA","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2"
15079,"MTIF3",0,-0.135,"NA","mitochondrial translational initiation factor 3"
15080,"MTMR1",0,0,"NA","myotubularin related protein 1"
15081,"MTMR10",0,0.025,"NA","myotubularin related protein 10"
15082,"MTMR14",0,-0.03,"NA","myotubularin related protein 14"
15083,"MTNR1B",0,-0.02,"NA","melatonin receptor 1B"
15084,"MTPN",0,0.145,"NA","myotrophin"
15085,"MTRNR2L7",0,0.055,"NA","MT-RNR2 like 7"
15086,"MUC4",0,0.03,"NA","mucin 4"
15087,"MUC6",0,-0.005,"NA","mucin 6"
15088,"MUCL3",0,0.045,"NA","mucin like 3"
15089,"MVP",0,0.01,"NA","major vault protein"
15090,"MXD4",0,0.03,"TF","MAX dimerization protein 4"
15091,"MYBPC3",0,-0.145,"NA","myosin binding protein C3"
15092,"MYCBPAP",0,-0.29,"NA","MYCBP associated protein"
15093,"MYD88",0,0.015,"NA","MYD88 innate immune signal transduction adaptor"
15094,"MYH10",0,0.02,"NA","myosin heavy chain 10"
15095,"MYH15",0,0.04,"NA","myosin heavy chain 15"
15096,"MYH7",0,-0.055,"NA","myosin heavy chain 7"
15097,"MYH7B",0,-0.085,"NA","myosin heavy chain 7B"
15098,"MYLIP",0,0.085,"NA","myosin regulatory light chain interacting protein"
15099,"MYLK",0,0.07,"Kinase","myosin light chain kinase"
15100,"MYLK3",0,0.1,"Kinase","myosin light chain kinase 3"
15101,"MYO18B",0,-0.04,"NA","myosin XVIIIB"
15102,"MYO19",0,-0.105,"NA","myosin XIX"
15103,"MYO5C",0,0.06,"NA","myosin VC"
15104,"MYO9A",0,-0.055,"NA","myosin IXA"
15105,"MYO9B",0,-0.205,"NA","myosin IXB"
15106,"MYOF",0,0,"NA","myoferlin"
15107,"MYOM1",0,0.135,"NA","myomesin 1"
15108,"MYOZ2",0,0.015,"NA","myozenin 2"
15109,"MYRIP",0,-0.005,"NA","myosin VIIA and Rab interacting protein"
15110,"MYZAP",0,0.06,"NA","myocardial zonula adherens protein"
15111,"MZF1",0,-0.275,"TF","myeloid zinc finger 1"
15112,"MZT1",0,-0.82,"NA","mitotic spindle organizing protein 1"
15113,"N4BP1",0,0.115,"NA","NEDD4 binding protein 1"
15114,"NAA15",0,-1.14,"NA","N-alpha-acetyltransferase 15"
15115,"NAA20",0,-0.765,"NA","N-alpha-acetyltransferase 20"
15116,"NAA50",0,-1.535,"NA","N-alpha-acetyltransferase 50"
15117,"NAB2",0,-0.075,"ChroRemod","NA"
15118,"NABP1",0,0.05,"NA","nucleic acid binding protein 1"
15119,"NAF1",0,-0.45,"NA","nuclear assembly factor 1 ribonucleoprotein"
15120,"NANP",0,-0.045,"NA","N-acetylneuraminic acid phosphatase"
15121,"NANS",0,0.015,"NA","N-acetylneuraminate synthase"
15122,"NAV1",0,-0.205,"NA","neuron navigator 1"
15123,"NAV2",0,-0.045,"NA","neuron navigator 2"
15124,"NAV3",0,0.015,"NA","neuron navigator 3"
15125,"NAXE",0,-0.1,"NA","NAD(P)HX epimerase"
15126,"NBEAL2",0,0.045,"NA","neurobeachin like 2"
15127,"NCAM2",0,0.075,"NA","neural cell adhesion molecule 2"
15128,"NCAN",0,-0.13,"NA","neurocan"
15129,"NCDN",0,-0.26,"NA","neurochondrin"
15130,"NCEH1",0,-0.015,"NA","neutral cholesterol ester hydrolase 1"
15131,"NCF4",0,0.04,"NA","neutrophil cytosolic factor 4"
15132,"NCK2",0,-0.035,"NA","NCK adaptor protein 2"
15133,"NCL",0,-0.865,"NA","nucleolin"
15134,"NCOA4",0,-0.435,"ChroRemod","nuclear receptor coactivator 4"
15135,"NCOA5",0,-0.19,"NA","nuclear receptor coactivator 5"
15136,"NCOA6",0,-0.25,"ChroRemod","nuclear receptor coactivator 6"
15137,"NCOA7",0,0.12,"NA","nuclear receptor coactivator 7"
15138,"NCS1",0,0.045,"NA","neuronal calcium sensor 1"
15139,"NDC1",0,-0.65,"NA","NDC1 transmembrane nucleoporin"
15140,"NDC80",0,-1.355,"NA","NDC80 kinetochore complex component"
15141,"NDFIP1",0,0.025,"NA","Nedd4 family interacting protein 1"
15142,"NDFIP2",0,0.005,"NA","Nedd4 family interacting protein 2"
15143,"NDRG3",0,-0.015,"NA","NDRG family member 3"
15144,"NDST2",0,-0.02,"NA","N-deacetylase and N-sulfotransferase 2"
15145,"NDST4",0,0.125,"NA","N-deacetylase and N-sulfotransferase 4"
15146,"NDUFA9",0,-0.335,"NA","NADH:ubiquinone oxidoreductase subunit A9"
15147,"NDUFAB1",0,-0.8,"NA","NADH:ubiquinone oxidoreductase subunit AB1"
15148,"NDUFAF2",0,-0.14,"NA","NADH:ubiquinone oxidoreductase complex assembly factor 2"
15149,"NDUFAF3",0,-0.475,"NA","NADH:ubiquinone oxidoreductase complex assembly factor 3"
