id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
Fn3krp,4,0.34447,0.51259,0.999686,10476,1,0.053946,0.14565,0.973116,3088,3
Slc16a9,4,0.34452,0.51264,0.999686,10478,2,0.40919,0.57832,0.997125,11978,2
Fbxw2,4,0.34465,0.51275,0.999686,10479,1,0.26903,0.4654,0.994069,9653,3
Mip,4,0.34469,0.51279,0.999686,10480,2,0.72043,0.79905,0.999686,16439,1
Klf17,4,0.34472,0.51282,0.999686,10481,2,0.50331,0.65391,0.99901,13511,2
Sstr5,4,0.3449,0.51298,0.999686,10482,2,0.78946,0.83074,0.999686,17074,1
Fzd6,4,0.3449,0.51298,0.999686,10483,2,0.30892,0.49793,0.994069,10310,1
Bola1,4,0.34491,0.51298,0.999686,10484,1,0.73191,0.80392,0.999686,16533,1
Kif17,4,0.34502,0.51308,0.999686,10486,2,0.22576,0.40749,0.990404,8503,2
Olfr1129,4,0.34502,0.51308,0.999686,10487,2,0.12422,0.25986,0.983499,5451,2
Cgrrf1,4,0.34502,0.51307,0.999686,10485,2,0.50014,0.65138,0.99901,13456,2
Pcdha2,4,0.34507,0.51311,0.999686,10488,2,0.91621,0.91579,0.999686,18825,1
SGR000122356.1_XPR003.1,1,0.34534,0.51335,0.999686,10489,1,0.65466,0.77317,0.999686,15902,0
Gm12887,4,0.34546,0.51344,0.999686,10490,2,0.39707,0.56847,0.997045,11781,2
Dmxl2,4,0.34556,0.51354,0.999686,10491,1,0.19209,0.36046,0.98616,7535,1
4833420G17Rik,4,0.34562,0.51359,0.999686,10492,2,0.59431,0.72815,0.999686,15007,2
Tdpoz1,4,0.34581,0.51375,0.999686,10493,1,0.51731,0.66534,0.99901,13756,2
Scgb1b29,4,0.34585,0.51378,0.999686,10494,2,0.46973,0.62699,0.99901,12957,2
Dhrs13,4,0.34585,0.51378,0.999686,10496,2,0.67377,0.78029,0.999686,16047,1
Olah,4,0.34585,0.51378,0.999686,10497,2,0.55487,0.69568,0.999686,14368,1
Slc22a29,4,0.34585,0.51378,0.999686,10495,2,0.6451,0.76975,0.999686,15834,1
Adap2,4,0.34588,0.51381,0.999686,10498,2,0.32951,0.51435,0.994069,10660,2
Zfp691,4,0.34592,0.51385,0.999686,10499,2,0.25132,0.44212,0.994069,9174,2
Dbp,4,0.34595,0.51387,0.999686,10500,2,0.55624,0.69682,0.999686,14392,2
Chrdl2,4,0.34597,0.51389,0.999686,10502,1,0.14172,0.28652,0.98511,5982,3
Stmn2,4,0.34597,0.51389,0.999686,10501,1,0.15504,0.3063,0.98511,6365,3
Vmn2r42,4,0.34601,0.51394,0.999686,10503,2,0.42522,0.5913,0.99901,12229,2
Mtcl1,4,0.34608,0.514,0.999686,10504,2,0.18224,0.34636,0.9861,7248,2
Rpa3,4,0.34611,0.51402,0.999686,10505,2,0.039394,0.11286,0.962674,2402,2
Zfp709,4,0.34617,0.51407,0.999686,10506,2,0.44692,0.60868,0.99901,12582,2
Fam129c,4,0.34617,0.51408,0.999686,10507,1,0.016154,0.050216,0.962674,1065,3
Col5a3,4,0.34621,0.51411,0.999686,10508,2,0.49352,0.64599,0.99901,13357,2
Cabp4,4,0.34624,0.51413,0.999686,10509,2,0.53457,0.67933,0.999543,14049,1
Exosc4,4,0.34627,0.51416,0.999686,10510,2,0.92526,0.92464,0.999686,19026,0
Ehd4,4,0.3463,0.51419,0.999686,10511,1,0.18259,0.34686,0.9861,7261,3
Gm14851,4,0.34641,0.51428,0.999686,10512,1,0.42081,0.58771,0.998988,12155,1
Pcnxl3,4,0.34649,0.51435,0.999686,10513,2,0.12832,0.2662,0.98511,5578,2
Dda1,4,0.34651,0.51437,0.999686,10514,2,0.36487,0.54268,0.994069,11268,2
Crispld1,4,0.34659,0.51443,0.999686,10515,2,0.23588,0.42126,0.99404,8755,2
Acy3,4,0.3466,0.51444,0.999686,10516,1,0.10132,0.22435,0.982644,4687,3
Prkd3,4,0.34662,0.51446,0.999686,10517,2,0.2578,0.45075,0.994069,9343,2
Ctnna1,4,0.34665,0.51449,0.999686,10518,2,0.93881,0.93822,0.999686,19319,0
Gna11,4,0.34676,0.51457,0.999686,10520,1,0.32889,0.51385,0.994069,10650,1
Prpf4b,4,0.34676,0.51457,0.999686,10519,1,0.50019,0.65142,0.99901,13457,2
Prim1,4,0.34699,0.51477,0.999686,10521,2,0.30239,0.49279,0.994069,10199,2
Slc30a8,4,0.34708,0.51486,0.999686,10522,2,0.058136,0.15289,0.974292,3232,2
Dnaaf5,4,0.34713,0.51491,0.999686,10523,1,0.5998,0.73275,0.999686,15107,2
Bag5,4,0.34726,0.51502,0.999686,10524,2,0.20186,0.37415,0.98616,7823,2
Cct4,4,0.3473,0.51505,0.999686,10525,2,0.082754,0.19427,0.982644,4057,2
Mrps35,4,0.34733,0.51506,0.999686,10526,2,0.80067,0.83646,0.999686,17191,1
Gm4133,4,0.34748,0.51519,0.999686,10527,2,0.20953,0.38494,0.98616,8056,2
Olfr340,4,0.34748,0.51519,0.999686,10528,2,0.54926,0.69121,0.999686,14290,1
Psip1,4,0.34771,0.5154,0.999686,10530,2,0.17742,0.33936,0.98511,7114,2
Zfp946,4,0.34771,0.5154,0.999686,10529,2,0.089884,0.20588,0.982644,4292,2
Setd4,4,0.34779,0.51546,0.999686,10531,1,0.26459,0.45967,0.994069,9523,2
Wrap53,4,0.34779,0.51546,0.999686,10532,2,0.52018,0.66768,0.99901,13798,2
SGR000122051.1_XPR003.1,1,0.34795,0.51559,0.999686,10533,1,0.65205,0.77222,0.999686,15885,0
Dpy19l1,4,0.34801,0.51564,0.999686,10535,1,0.11555,0.24665,0.982644,5185,3
Slco6d1,4,0.34801,0.51564,0.999686,10534,2,0.12244,0.25722,0.983499,5398,2
Pcgf5,4,0.34813,0.51574,0.999686,10536,2,0.17076,0.32957,0.98511,6876,2
Hpn,4,0.34817,0.51577,0.999686,10537,1,0.00082115,0.0029386,0.782025,69,3
Tnfaip6,4,0.34819,0.51579,0.999686,10538,2,0.24093,0.4282,0.99404,8904,2
Hist1h4m,4,0.34824,0.51583,0.999686,10539,1,0.48444,0.63875,0.99901,13193,2
Dnajc18,4,0.34846,0.51601,0.999686,10540,2,0.45592,0.61596,0.99901,12735,2
Plp1,4,0.34867,0.51617,0.999686,10541,1,0.08743,0.20195,0.982644,4202,3
Ppp6r3,4,0.34887,0.51635,0.999686,10542,2,0.27722,0.47281,0.994069,9807,2
Ndrg4,4,0.34904,0.51649,0.999686,10543,2,0.54553,0.68815,0.999686,14223,2
Grik4,4,0.34907,0.51652,0.999686,10544,1,0.08295,0.19459,0.982644,4070,3
Foxg1,4,0.34911,0.51655,0.999686,10545,2,0.045757,0.12893,0.964004,2761,2
Ppme1,4,0.34918,0.51662,0.999686,10547,2,0.11598,0.24729,0.982934,5199,2
