id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
Mepe,4,0.20606,0.39346,1.0,7845,2,0.48749,0.49126,0.998845,10129,1
Fcrl5,4,0.20606,0.39346,1.0,7846,2,0.21075,0.28307,0.998845,5708,1
Zfp42,4,0.20606,0.39346,1.0,7847,2,0.84199,0.84181,1.0,17311,0
1700034O15Rik,4,0.20606,0.39346,1.0,7848,3,0.72569,0.72559,1.0,14952,0
Tmub1,4,0.20606,0.39346,1.0,7849,2,0.56764,0.56715,0.998845,11736,0
Hal,4,0.20606,0.39346,1.0,7850,2,0.70443,0.70424,1.0,14530,0
5730508B09Rik,4,0.20606,0.39346,1.0,7851,2,0.12364,0.20098,0.998845,3972,1
Ldlr,4,0.20606,0.39346,1.0,7852,2,0.71197,0.71177,1.0,14681,0
Tff2,4,0.20606,0.39346,1.0,7853,3,0.25427,0.31173,0.998845,6334,1
BC024139,4,0.20606,0.39346,1.0,7854,3,0.30693,0.34799,0.998845,7149,1
Olfr1411,4,0.20606,0.39346,1.0,7855,2,0.16255,0.25266,0.998845,5043,1
Fgf5,4,0.20606,0.39346,1.0,7856,3,0.31288,0.35236,0.998845,7230,1
Angptl1,4,0.20606,0.39346,1.0,7857,3,0.68127,0.68123,1.0,14014,0
Ptprh,4,0.20606,0.39346,1.0,7858,3,0.69416,0.69407,1.0,14313,0
Olfr353,4,0.20606,0.39346,1.0,7859,2,0.57563,0.5752,0.999442,11896,0
Agt,4,0.20606,0.39346,1.0,7860,2,0.14517,0.231,0.998845,4589,2
Hdac8,4,0.20606,0.39346,1.0,7861,2,0.79375,0.79362,1.0,16353,0
Mroh2a,4,0.20606,0.39346,1.0,7862,3,0.43483,0.44614,0.998845,9194,1
Tmem233,4,0.2061,0.39351,1.0,7863,3,0.86511,0.86493,1.0,17805,0
Ksr1,4,0.20648,0.39405,1.0,7864,3,0.76376,0.76359,1.0,15747,0
Gjd4,4,0.20648,0.39405,1.0,7865,3,0.23749,0.30042,0.998845,6083,1
Drd1,4,0.20648,0.39405,1.0,7866,3,0.74562,0.74549,1.0,15377,0
Prdm13,4,0.20648,0.39405,1.0,7867,3,0.39844,0.41675,0.998845,8589,1
Mpnd,4,0.20648,0.39405,1.0,7868,3,0.39397,0.41317,0.998845,8503,1
Fam160b2,4,0.20648,0.39405,1.0,7869,3,0.35672,0.38443,0.998845,7882,1
Cd244,4,0.20648,0.39405,1.0,7870,3,0.82159,0.82147,1.0,16926,0
Tmed4,4,0.20648,0.39405,1.0,7871,3,0.5396,0.53949,0.998845,11135,1
Flywch2,4,0.20648,0.39405,1.0,7872,3,0.4956,0.49846,0.998845,10289,1
Ndufs6,4,0.20648,0.39405,1.0,7873,3,0.82371,0.82359,1.0,16956,0
Mrpl16,4,0.20648,0.39405,1.0,7874,3,0.88888,0.88881,1.0,18244,0
Snapin,4,0.20648,0.39405,1.0,7875,3,0.64294,0.64288,1.0,13246,0
Ipcef1,4,0.20648,0.39405,1.0,7876,3,0.036021,0.076159,0.998845,1499,1
Psmb7,4,0.20648,0.39405,1.0,7877,3,0.1875,0.26824,0.998845,5396,1
Skp2,4,0.20648,0.39405,1.0,7878,3,0.29496,0.33951,0.998845,6968,1
Dut,4,0.20648,0.39405,1.0,7879,3,0.063656,0.11603,0.998845,2316,1
Cdc6,4,0.20648,0.39405,1.0,7880,3,0.051409,0.098433,0.998845,1935,1
Gm8693,4,0.20648,0.39405,1.0,7881,3,0.20427,0.27885,0.998845,5609,1
Dera,4,0.20648,0.39405,1.0,7882,3,0.8444,0.8442,1.0,17365,0
Olfr138,4,0.20648,0.39405,1.0,7883,3,0.27387,0.32496,0.998845,6638,1
Hmgn3,4,0.20648,0.39405,1.0,7884,3,0.77757,0.77734,1.0,16026,0
Lonp2,4,0.20648,0.39405,1.0,7885,3,0.75384,0.75375,1.0,15533,0
Flrt1,4,0.20648,0.39405,1.0,7886,3,0.60835,0.60813,1.0,12517,0
Tcl1b5,4,0.20648,0.39405,1.0,7887,3,0.83205,0.83196,1.0,17121,0
S1pr4,4,0.20648,0.39405,1.0,7888,3,0.91546,0.9154,1.0,18839,0
Muc5ac,4,0.20648,0.39405,1.0,7889,3,0.87007,0.86985,1.0,17896,0
Usp49,4,0.20648,0.39405,1.0,7890,3,0.76938,0.76925,1.0,15867,0
P2ry6,4,0.20648,0.39405,1.0,7891,3,0.27126,0.32319,0.998845,6594,1
Ydjc,4,0.20648,0.39405,1.0,7892,3,0.90831,0.9082,1.0,18703,0
1700026D08Rik,4,0.20648,0.39405,1.0,7893,3,0.85302,0.85282,1.0,17544,0
Plod2,4,0.20648,0.39405,1.0,7894,3,0.63972,0.63964,1.0,13180,0
Fam170b,4,0.20648,0.39405,1.0,7895,3,0.89382,0.89373,1.0,18372,0
Pla2g3,4,0.20648,0.39405,1.0,7896,3,0.66152,0.66139,1.0,13624,0
Kri1,4,0.20648,0.39405,1.0,7897,3,0.72345,0.72333,1.0,14909,0
Ect2,4,0.20648,0.39405,1.0,7898,3,0.78566,0.78552,1.0,16186,0
Gbp2,4,0.20648,0.39405,1.0,7899,3,0.54631,0.54596,0.998845,11282,1
Olfr190,4,0.20648,0.39405,1.0,7900,3,0.81359,0.81347,1.0,16750,0
U2af1,4,0.20648,0.39405,1.0,7901,3,0.46758,0.4738,0.998845,9753,1
Olfr463,4,0.20648,0.39405,1.0,7902,3,0.92847,0.92853,1.0,19131,0
C7,4,0.20648,0.39405,1.0,7903,3,0.33538,0.36852,0.998845,7558,1
Slc16a1,4,0.20648,0.39405,1.0,7904,3,0.23927,0.3016,0.998845,6108,1
Rgs2,4,0.20648,0.39405,1.0,7905,3,0.87896,0.87888,1.0,18069,0
Txnl4a,4,0.20648,0.39405,1.0,7906,3,0.58246,0.58212,1.0,12016,0
Gdf3,4,0.20725,0.39515,1.0,7907,1,0.81629,0.81617,1.0,16809,0
Wls,4,0.20725,0.39515,1.0,7908,1,0.067262,0.12132,0.998845,2424,2
Pla2g1b,4,0.20773,0.39582,1.0,7909,2,0.3048,0.34649,0.998845,7123,1
Ift46,4,0.20773,0.39582,1.0,7910,2,0.72237,0.72223,1.0,14889,0
Efna1,4,0.20773,0.39582,1.0,7911,2,0.54779,0.54742,0.998845,11313,1
Ghr,4,0.20773,0.39582,1.0,7912,2,0.79144,0.79128,1.0,16304,0
Saraf,4,0.20773,0.39582,1.0,7913,2,0.65384,0.65372,1.0,13464,0
Capn10,4,0.20773,0.39582,1.0,7914,2,0.53921,0.53914,0.998845,11124,1
Adora3,4,0.20773,0.39582,1.0,7915,2,0.17563,0.2608,0.998845,5224,1
Vmn2r85,4,0.20773,0.39582,1.0,7916,2,0.14393,0.22925,0.998845,4543,1
Letmd1,4,0.20773,0.39582,1.0,7917,1,0.056382,0.10561,0.998845,2087,1
Cxcr6,4,0.20773,0.39582,1.0,7918,2,0.82459,0.82448,1.0,16977,0
Smim22,4,0.20773,0.39582,1.0,7919,2,0.43358,0.4451,0.998845,9174,1
Cpne9,4,0.20773,0.39582,1.0,7920,1,0.27924,0.32869,0.998845,6721,1
Baiap2l1,4,0.20773,0.39582,1.0,7921,3,0.82124,0.82111,1.0,16919,0
Maged1,4,0.20773,0.39582,1.0,7922,3,0.57522,0.57476,0.999428,11888,0
Cyp2a4,4,0.20773,0.39582,1.0,7923,1,0.67483,0.67478,1.0,13886,0
Ces2h,4,0.20773,0.39582,1.0,7924,2,0.58732,0.58704,1.0,12115,0
Tdpoz5,4,0.20773,0.39582,1.0,7925,2,0.63332,0.63321,1.0,13030,0
Llgl1,4,0.20773,0.39582,1.0,7926,2,0.36934,0.39407,0.998845,8107,1
Bcap29,4,0.20773,0.39582,1.0,7927,1,0.14577,0.23182,0.998845,4600,1
Olfr63,4,0.20773,0.39582,1.0,7928,1,0.56368,0.56322,0.998845,11649,0
Olfr318,4,0.20773,0.39582,1.0,7929,2,0.64148,0.64144,1.0,13222,0
Zfp799,4,0.20773,0.39582,1.0,7930,3,0.88548,0.88538,1.0,18184,0
Pgpep1l,4,0.20773,0.39582,1.0,7931,2,0.57645,0.57604,0.999692,11911,0
Olfr12,4,0.20773,0.39582,1.0,7932,2,0.087122,0.1496,0.998845,3002,2
Gtf3c4,4,0.20773,0.39582,1.0,7933,1,0.56744,0.56696,0.998845,11732,0
Olfr1305,4,0.20773,0.39582,1.0,7934,2,0.024726,0.059458,0.998845,1158,1
Sptb,4,0.20785,0.39597,1.0,7935,2,0.2163,0.28668,0.998845,5791,1
Vps51,4,0.20785,0.39597,1.0,7936,2,0.28932,0.33562,0.998845,6869,1
Utp23,4,0.20785,0.39597,1.0,7937,2,0.20242,0.2777,0.998845,5584,1
Car5a,4,0.2083,0.39663,1.0,7938,2,0.69224,0.69211,1.0,14270,0
Gm21319,4,0.20833,0.39667,1.0,7939,2,0.8609,0.86061,1.0,17713,0
Bcl2l12,4,0.20844,0.39683,1.0,7940,2,0.26412,0.31833,0.998845,6493,1
Chd9,4,0.20855,0.39697,1.0,7941,2,0.14911,0.23641,0.998845,4686,2
Trap1a,4,0.20855,0.39697,1.0,7942,2,0.083227,0.14406,0.998845,2883,2
Slc37a4,4,0.20858,0.39702,1.0,7943,1,0.53231,0.53246,0.998845,10985,0
Olfr1490,4,0.20868,0.39716,1.0,7944,2,0.10675,0.17723,0.998845,3529,1
Gm597,4,0.20868,0.39716,1.0,7945,2,0.056927,0.10641,0.998845,2110,2
Pknox1,4,0.20886,0.39741,1.0,7946,2,0.20793,0.28126,0.998845,5664,1
Psg22,4,0.20908,0.39772,1.0,7947,3,0.3819,0.40365,0.998845,8312,1
4930486L24Rik,4,0.20916,0.39782,1.0,7948,2,0.73658,0.73637,1.0,15167,0
Slc13a5,4,0.20916,0.39782,1.0,7949,2,0.0099434,0.026508,0.998845,513,2
SGR000121689.1_XPR003.1,1,0.20923,0.20886,0.99842,7950,1,0.79077,0.79115,1.0,16298,0
Gm13088,4,0.20928,0.39801,1.0,7951,2,0.61741,0.61731,1.0,12705,0
Klri2,4,0.20929,0.39802,1.0,7952,3,0.35173,0.38064,0.998845,7807,1
Fam183b,4,0.20938,0.39814,1.0,7953,3,0.1538,0.24294,0.998845,4834,1
Slc15a4,4,0.20939,0.39815,1.0,7954,2,0.042961,0.086242,0.998845,1702,1
Khdc1c,4,0.20943,0.39822,1.0,7955,3,0.69908,0.69893,1.0,14432,0
Mrvi1,4,0.20944,0.39823,1.0,7956,2,0.015537,0.040174,0.998845,766,2
Slc5a11,4,0.20952,0.39832,1.0,7957,2,0.73641,0.73619,1.0,15165,0
Olfr125,4,0.20956,0.39839,1.0,7958,3,0.7858,0.78568,1.0,16189,0
Tmem234,4,0.20958,0.39841,1.0,7959,3,0.6078,0.60756,1.0,12502,0
Amtn,4,0.20964,0.3985,1.0,7960,3,0.92097,0.92098,1.0,18949,0
Ntrk3,4,0.20971,0.3986,1.0,7961,2,0.29572,0.34003,0.998845,6980,1
Batf,4,0.20974,0.39864,1.0,7962,2,0.024166,0.058661,0.998845,1143,1
Lpar4,4,0.20983,0.39876,1.0,7963,3,0.20758,0.28105,0.998845,5658,1
Sprr1b,4,0.20984,0.39878,1.0,7964,2,0.028789,0.065444,0.998845,1292,1
C2cd4c,4,0.20984,0.39878,1.0,7965,2,0.58687,0.58658,1.0,12108,0
Gm12695,4,0.20992,0.39888,1.0,7966,3,0.80911,0.80894,1.0,16656,0
Prmt10,4,0.21009,0.39908,1.0,7967,3,0.8921,0.89201,1.0,18331,0
Vmn1r72,4,0.21015,0.39916,1.0,7968,1,0.09978,0.16741,0.998845,3347,2
Olfr382,4,0.21015,0.39916,1.0,7969,2,0.44081,0.45113,0.998845,9299,1
Avpr1a,4,0.21028,0.39935,1.0,7970,3,0.82309,0.82299,1.0,16948,0
Iqcg,4,0.21037,0.39948,1.0,7971,3,0.19404,0.2724,0.998845,5477,1
SGR000122334.1_XPR003.1,1,0.21039,0.21002,0.99842,7972,1,0.78961,0.78998,1.0,16274,0
Naip2,4,0.21047,0.39962,1.0,7973,3,0.36789,0.39291,0.998845,8084,1
Trip13,4,0.21051,0.39968,1.0,7974,3,0.81998,0.81986,1.0,16883,0
Smpdl3b,4,0.21057,0.39978,1.0,7975,3,0.014153,0.036799,0.998845,701,1
Egfl6,4,0.21065,0.39989,1.0,7976,3,0.46916,0.47519,0.998845,9787,1
Olfr493,4,0.21065,0.39989,1.0,7977,3,0.61027,0.61007,1.0,12554,0
Nfkb2,4,0.21065,0.39989,1.0,7978,3,0.4427,0.45271,0.998845,9341,1
Slc25a2,4,0.21076,0.40002,1.0,7979,3,0.4146,0.42964,0.998845,8858,1
Kctd13,4,0.21084,0.40014,1.0,7980,3,0.44514,0.45475,0.998845,9380,1
Inhbb,4,0.21095,0.40031,1.0,7981,3,0.58073,0.58034,1.0,11984,0
Brip1,4,0.211,0.40038,1.0,7982,3,0.86557,0.86539,1.0,17813,0
Yy1,4,0.21112,0.40053,1.0,7983,1,0.73755,0.73737,1.0,15188,0
E330014E10Rik,4,0.21112,0.40053,1.0,7984,1,0.17183,0.25844,0.998845,5171,1
Clptm1l,4,0.21112,0.40053,1.0,7985,1,0.12706,0.20566,0.998845,4060,1
Rdh19,4,0.21112,0.40053,1.0,7986,2,0.50354,0.50564,0.998845,10441,0
Ykt6,4,0.21112,0.40053,1.0,7987,2,0.80039,0.80025,1.0,16488,0
Cyb5b,4,0.21116,0.4006,1.0,7988,3,0.92333,0.92342,1.0,19012,0
Cyp4f16,4,0.21133,0.40083,1.0,7989,2,0.78867,0.78852,1.0,16255,0
Pced1b,4,0.21195,0.40164,1.0,7990,2,0.74218,0.74202,1.0,15298,0
Sesn1,4,0.21195,0.40164,1.0,7991,2,0.1553,0.24509,0.998845,4874,2
V1ra8,4,0.21195,0.40164,1.0,7992,1,0.53588,0.53592,0.998845,11054,1
Sytl3,4,0.21195,0.40164,1.0,7993,1,0.36947,0.39416,0.998845,8108,1
Ccar1,4,0.21195,0.40164,1.0,7994,3,0.88471,0.8846,1.0,18173,0
Gm609,4,0.21195,0.40164,1.0,7995,3,0.60384,0.60363,1.0,12428,0
Kcna2,4,0.21195,0.40164,1.0,7996,1,0.74068,0.74056,1.0,15255,0
