id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
PGLYRP3,4,0.34362,0.5555,1.0,10472,2,0.052596,0.091522,0.985705,1786,1
TMED9,4,0.34362,0.5555,1.0,10473,1,0.19167,0.20508,0.985705,4137,1
IPO5,4,0.34362,0.5555,1.0,10474,2,0.81101,0.81141,0.994386,16409,0
PFDN1,4,0.34362,0.5555,1.0,10475,2,0.25254,0.25782,0.985705,5191,1
FZD10,4,0.34362,0.5555,1.0,10476,2,0.48897,0.48884,0.985705,9929,0
TCEANC,4,0.34362,0.5555,1.0,10477,1,0.26126,0.2656,0.985705,5349,1
G6PC2,4,0.34362,0.5555,1.0,10478,2,0.30538,0.30626,0.985705,6200,1
ISL1,4,0.34362,0.5555,1.0,10479,2,0.63619,0.63606,0.985939,12957,0
TPRG1L,4,0.34362,0.5555,1.0,10480,2,0.83822,0.83851,0.995896,16928,0
TAPBPL,4,0.34362,0.5555,1.0,10481,2,0.56921,0.56897,0.985705,11582,0
CDIP1,4,0.34362,0.5555,1.0,10482,2,0.89674,0.897,1.0,18024,0
LAMB4,4,0.34362,0.5555,1.0,10483,2,0.18151,0.19663,0.985705,3957,1
TMTC1,4,0.34362,0.5555,1.0,10484,1,0.37954,0.37913,0.985705,7684,0
ARID3C,4,0.34362,0.5555,1.0,10485,1,0.43354,0.4333,0.985705,8763,0
STXBP5L,4,0.34362,0.5555,1.0,10486,1,0.050776,0.088585,0.985705,1723,1
OR10A3,4,0.34362,0.5555,1.0,10487,2,0.6517,0.65162,0.985939,13269,0
MOSPD2,4,0.34362,0.5555,1.0,10488,1,0.00097452,0.0028004,0.846597,62,3
OR7A5,4,0.34362,0.5555,1.0,10489,1,0.19118,0.20467,0.985705,4128,1
NR6A1,4,0.34362,0.5555,1.0,10490,2,0.45418,0.45395,0.985705,9181,0
RIMS4,4,0.34362,0.5555,1.0,10491,1,0.51166,0.51156,0.985705,10404,0
SNRPG,4,0.34362,0.5555,1.0,10492,1,0.2495,0.25513,0.985705,5130,1
OR1L6,4,0.34362,0.5555,1.0,10493,1,0.090176,0.12371,0.985705,2448,1
DVL2,4,0.34362,0.5555,1.0,10494,2,0.68846,0.68832,0.986998,14019,0
MYADML2,4,0.34362,0.5555,1.0,10495,1,0.38081,0.38041,0.985705,7703,0
WBP11,4,0.34362,0.5555,1.0,10496,2,0.035075,0.063202,0.985705,1229,2
CLK3,4,0.34362,0.5555,1.0,10497,1,0.59263,0.59231,0.985705,12084,0
STRIP2,4,0.34362,0.5555,1.0,10498,2,0.83669,0.83698,0.995896,16901,0
FAM219A,4,0.34362,0.5555,1.0,10499,2,0.025469,0.047293,0.985705,939,1
ADAMTS18,4,0.34362,0.5555,1.0,10500,2,0.68058,0.68046,0.986998,13855,0
ZNF304,4,0.34362,0.5555,1.0,10501,2,0.053477,0.092948,0.985705,1816,2
RBP7,4,0.34362,0.5555,1.0,10502,2,0.31711,0.3174,0.985705,6424,1
ANKS3,4,0.34362,0.5555,1.0,10503,2,0.70377,0.70379,0.986998,14319,0
C9orf172,4,0.34362,0.5555,1.0,10504,1,0.13713,0.16056,0.985705,3208,1
