id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
Cox17,4,0.47886,0.62595,0.999686,12876,2,0.29807,0.50329,0.994629,10460,2
Itgb8,4,0.47889,0.62597,0.999686,12878,1,0.046766,0.13143,0.974028,2763,3
Nlrp2,4,0.47889,0.62597,0.999686,12877,2,0.25965,0.45429,0.989518,9481,2
Cspg5,4,0.47898,0.62606,0.999686,12879,2,0.048225,0.13494,0.974028,2853,2
Gcnt7,4,0.47901,0.62609,0.999686,12880,2,0.27106,0.46882,0.990359,9776,1
Chek2,4,0.47911,0.62618,0.999686,12881,2,0.9517,0.95106,0.999686,19501,0
Ifna4,4,0.47911,0.62618,0.999686,12882,2,0.73338,0.81965,0.999686,16809,1
Klk1b9,4,0.47918,0.62624,0.999686,12883,2,0.16743,0.32844,0.989518,6781,2
Pah,4,0.47931,0.62636,0.999686,12884,2,0.33002,0.53129,0.996996,11007,2
Scand1,4,0.47946,0.6265,0.999686,12886,2,0.51026,0.6671,0.999686,13758,2
Bpifa5,4,0.47946,0.6265,0.999686,12885,2,0.86265,0.88006,0.999686,18019,1
Itpripl2,4,0.47954,0.62657,0.999686,12887,1,0.26961,0.46696,0.990174,9747,3
Olfr1362,4,0.47965,0.62666,0.999686,12888,2,0.52739,0.68014,0.999686,13995,2
Hpse2,4,0.47967,0.62667,0.999686,12889,2,0.63505,0.76369,0.999686,15673,2
Fyttd1,4,0.47971,0.6267,0.999686,12890,2,0.34695,0.54393,0.996996,11248,2
Rab3a,4,0.47975,0.62674,0.999686,12891,1,0.0042188,0.014197,0.845644,345,3
Trim58,4,0.47982,0.6268,0.999686,12892,2,0.22811,0.4125,0.989518,8580,2
Prpf3,4,0.47987,0.62684,0.999686,12893,2,0.23194,0.41767,0.989518,8698,2
Olfr313,4,0.47991,0.62687,0.999686,12894,1,0.033456,0.097694,0.974028,2048,3
Rgs14,4,0.47997,0.62692,0.999686,12896,1,0.22343,0.40628,0.989518,8446,3
Olfr786,4,0.47997,0.62692,0.999686,12895,1,0.075769,0.1894,0.979063,3948,3
Zfp59,4,0.48019,0.6271,0.999686,12897,1,0.18189,0.34916,0.989518,7187,3
Prdm10,4,0.48021,0.62712,0.999686,12898,2,0.31087,0.51707,0.995801,10730,2
Gfm1,4,0.48031,0.62721,0.999686,12899,2,0.43722,0.61171,0.998923,12651,2
Foxq1,4,0.48036,0.62725,0.999686,12900,2,0.30761,0.51464,0.995801,10672,2
Slc10a4,4,0.48043,0.62731,0.999686,12901,1,0.029477,0.087163,0.974028,1825,3
Olfr1167,4,0.48054,0.62742,0.999686,12902,2,0.46199,0.63041,0.998923,13025,2
St13,4,0.48058,0.62745,0.999686,12903,2,0.17099,0.33362,0.989518,6882,2
Sik2,4,0.48072,0.62756,0.999686,12904,2,0.46526,0.63283,0.998923,13079,2
Champ1,4,0.48074,0.62758,0.999686,12905,1,0.22649,0.41034,0.989518,8536,3
SGR000122214.1_XPR003.1,1,0.48083,0.62766,0.999686,12906,0,0.51917,0.67398,0.999686,13868,0
D16Ertd472e,4,0.48085,0.62769,0.999686,12907,1,0.13058,0.27445,0.987536,5738,3
Cct6b,4,0.4809,0.62773,0.999686,12908,1,0.091459,0.21439,0.979094,4524,3
Cd79a,4,0.48095,0.62779,0.999686,12909,2,0.11426,0.24989,0.983442,5242,2
Kdm2b,4,0.48097,0.6278,0.999686,12910,1,0.062536,0.16768,0.979063,3528,3
Mast4,4,0.48109,0.6279,0.999686,12911,2,0.13707,0.28416,0.989518,5924,2
Lrrn2,4,0.48125,0.62804,0.999686,12913,2,0.026459,0.079097,0.974028,1654,2
Scrn1,4,0.48125,0.62804,0.999686,12912,1,0.20784,0.38503,0.989518,7970,3
Prelp,4,0.48136,0.62813,0.999686,12914,2,0.01078,0.034571,0.945263,745,2
Prx,4,0.48136,0.62813,0.999686,12915,2,0.38615,0.57319,0.996996,11851,2
Lrrn1,4,0.48144,0.62818,0.999686,12918,1,0.2276,0.41184,0.989518,8566,3
Gm11568,4,0.48144,0.62818,0.999686,12916,1,0.30047,0.50624,0.994709,10519,2
Mfsd1,4,0.48144,0.62818,0.999686,12917,1,0.18837,0.35816,0.989518,7365,3
Chmp4c,4,0.48149,0.62823,0.999686,12919,2,0.079344,0.19512,0.979063,4087,2
Eml1,4,0.4816,0.62832,0.999686,12920,2,0.48683,0.64917,0.999246,13423,1
Rad21,4,0.48166,0.62838,0.999686,12921,2,0.65635,0.78067,0.999686,16027,2
Frrs1l,4,0.48185,0.62854,0.999686,12923,1,0.15549,0.31117,0.989518,6447,2
Kbtbd13,4,0.48185,0.62854,0.999686,12922,1,0.34645,0.54354,0.996996,11241,2
Nps,4,0.48201,0.62867,0.999686,12924,2,0.051964,0.14404,0.97557,3040,2
Tmprss11c,4,0.48218,0.62882,0.999686,12925,2,0.10274,0.23207,0.982666,4868,2
Ryr2,4,0.48221,0.62884,0.999686,12926,2,0.67733,0.79761,0.999686,16364,1
Nsl1,4,0.48221,0.62884,0.999686,12927,2,0.92053,0.92095,0.999686,18896,1
Mrpl48,4,0.48231,0.62893,0.999686,12929,1,0.18563,0.35437,0.989518,7286,3
Rhox1,4,0.48231,0.62893,0.999686,12928,1,0.20751,0.38458,0.989518,7958,3
Hagh,4,0.4824,0.629,0.999686,12930,2,0.56225,0.70669,0.999686,14538,2
Stard4,4,0.48255,0.62914,0.999686,12932,2,0.21397,0.39337,0.989518,8158,2
Fam170a,4,0.48255,0.62914,0.999686,12931,2,0.44905,0.62063,0.998923,12813,2
Ptgs1,4,0.48261,0.62919,0.999686,12933,1,0.17286,0.33629,0.989518,6921,2
SGR000121895.1_XPR003.1,1,0.48267,0.62925,0.999686,12934,0,0.51733,0.67259,0.999686,13840,0
Rbms3,4,0.4827,0.62928,0.999686,12935,1,0.28552,0.48743,0.993424,10138,3
Katna1,4,0.48273,0.62931,0.999686,12937,2,0.40681,0.5888,0.997442,12199,2
Rbl1,4,0.48273,0.62931,0.999686,12936,2,0.26936,0.46666,0.990174,9739,2
Vsig10,4,0.48279,0.62936,0.999686,12938,1,0.1998,0.3739,0.989518,7701,3
Tnfsf4,4,0.48282,0.62939,0.999686,12939,2,0.23056,0.4158,0.989518,8656,2
Maf,4,0.48284,0.62941,0.999686,12940,2,0.79711,0.8462,0.999686,17341,1
Mterf1a,4,0.48293,0.62948,0.999686,12941,2,0.04911,0.1371,0.974028,2903,2
Ccna1,4,0.48295,0.6295,0.999686,12942,1,0.60294,0.73843,0.999686,15174,2
Nsun5,4,0.48304,0.62959,0.999686,12943,2,0.3927,0.57814,0.996996,11960,2
Ube2w,4,0.48319,0.62973,0.999686,12944,2,0.61433,0.7474,0.999686,15344,2
Kat6a,4,0.48327,0.62979,0.999686,12945,2,0.60283,0.73835,0.999686,15172,2
Prop1,4,0.48327,0.62979,0.999686,12946,1,0.027243,0.081257,0.974028,1703,3
Epm2a,4,0.4833,0.62983,0.999686,12947,2,0.62752,0.75771,0.999686,15541,2
Yod1,4,0.48339,0.6299,0.999686,12948,2,0.86923,0.88403,0.999686,18117,1
Frzb,4,0.48342,0.62993,0.999686,12949,2,0.505,0.66304,0.999686,13679,2
Sec1,4,0.48355,0.63004,0.999686,12950,2,0.85813,0.87744,0.999686,17966,1
Mllt4,4,0.48361,0.63009,0.999686,12951,1,0.42756,0.60446,0.998713,12510,2
Klk6,4,0.48364,0.63012,0.999686,12952,1,0.28656,0.48878,0.993424,10169,3
Mmgt1,4,0.48365,0.63012,0.999686,12953,2,0.32035,0.5241,0.996229,10871,2
Gm14458,4,0.48368,0.63015,0.999686,12954,2,0.010429,0.033481,0.945263,723,2
Cep164,4,0.48387,0.6303,0.999686,12956,2,0.95031,0.94964,0.999686,19474,0
Aldh3b2,4,0.48387,0.6303,0.999686,12955,1,0.0063177,0.020802,0.903108,474,3
SGR000121875.1_XPR003.1,1,0.48398,0.6304,0.999686,12957,0,0.51602,0.67156,0.999686,13824,0
Adam6b,4,0.484,0.63043,0.999686,12959,2,0.50457,0.66272,0.999686,13673,2
Fam189b,4,0.484,0.63043,0.999686,12958,2,0.6735,0.79459,0.999686,16303,2
Olfr857,4,0.48411,0.63052,0.999686,12960,1,0.21258,0.39151,0.989518,8117,3
Cxcr1,4,0.48418,0.63058,0.999686,12961,2,0.57029,0.71293,0.999686,14657,2
Sass6,4,0.48422,0.63062,0.999686,12962,1,0.25286,0.44542,0.989518,9285,2
Wtip,4,0.48422,0.63062,0.999686,12964,1,0.39243,0.57794,0.996996,11957,2
Adam5,4,0.48422,0.63062,0.999686,12963,1,0.11605,0.25259,0.983442,5296,3
