id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
Sprr3,4,0.32169,0.54007,1.0,10692,2,0.72338,1.0,14528,0
Zfp712,4,0.32189,0.54019,1.0,10693,2,0.54111,1.0,10947,1
Sox8,4,0.3219,0.5402,1.0,10694,2,0.67988,1.0,13649,1
Glyr1,4,0.32198,0.54025,1.0,10695,2,0.56413,1.0,11390,1
Mypn,4,0.32198,0.54025,1.0,10696,1,0.63485,1.0,12761,1
Olfr378,4,0.32207,0.54031,1.0,10697,2,0.24357,0.986906,4990,2
Slc41a2,4,0.32207,0.54031,1.0,10698,2,0.41637,1.0,8380,2
Boc,4,0.32211,0.54034,1.0,10699,2,0.077243,0.939834,1644,1
Med19,4,0.32211,0.54034,1.0,10700,2,0.3859,1.0,7799,1
Mras,4,0.32217,0.54038,1.0,10701,2,0.66499,1.0,13376,1
Ctrc,4,0.32224,0.54043,1.0,10702,2,0.1504,0.96522,3131,2
Mtrf1,4,0.3223,0.54047,1.0,10703,2,0.16656,0.97058,3453,1
Fgd2,4,0.32235,0.54051,1.0,10704,2,0.20973,0.981556,4319,2
Aida,4,0.32243,0.54056,1.0,10705,2,0.27483,0.992144,5606,2
Diap1,4,0.32254,0.54064,1.0,10706,2,0.36822,1.0,7429,1
Rrm1,4,0.32268,0.54074,1.0,10707,2,0.81779,1.0,16385,0
Ttc24,4,0.32312,0.54104,1.0,10708,2,0.37585,1.0,7593,2
Add3,4,0.32325,0.54113,1.0,10709,2,0.24439,0.986906,5014,1
Iyd,4,0.32329,0.54116,1.0,10710,2,0.70131,1.0,14083,1
Zbtb7c,4,0.32332,0.54118,1.0,10711,2,0.6724,1.0,13522,1
Lamp2,4,0.32338,0.54122,1.0,10712,2,0.54809,1.0,11084,1
Samd15,4,0.32342,0.54126,1.0,10713,2,0.91795,1.0,18431,0
Gpr3,4,0.32356,0.54137,1.0,10714,2,0.57834,1.0,11688,1
Zkscan1,4,0.32415,0.54179,1.0,10715,2,0.37691,1.0,7616,2
Gm13040,4,0.32415,0.54179,1.0,10716,2,0.85286,1.0,17060,0
Cygb,4,0.32415,0.54179,1.0,10717,1,0.16547,0.97058,3431,2
Pcdhb1,4,0.32415,0.54179,1.0,10718,1,0.21286,0.982545,4382,2
Dtnb,4,0.32415,0.54179,1.0,10719,1,0.37245,1.0,7516,2
Scn4b,4,0.32415,0.54179,1.0,10720,2,0.14661,0.964487,3057,2
1700017D01Rik,4,0.32415,0.54179,1.0,10721,2,0.70559,1.0,14170,1
Krtap4-9,4,0.32415,0.54179,1.0,10722,2,0.67867,1.0,13636,1
Nol8,4,0.32415,0.54179,1.0,10723,2,0.28944,0.998549,5877,2
Tspan6,4,0.32415,0.54179,1.0,10724,2,0.077661,0.939834,1656,1
Ankrd42,4,0.32415,0.54179,1.0,10725,1,0.080268,0.940176,1710,3
Arhgap6,4,0.32415,0.54179,1.0,10726,1,0.35373,1.0,7124,2
Fastkd5,4,0.32415,0.54179,1.0,10727,2,0.19399,0.975144,4009,2
Ccdc17,4,0.32415,0.54179,1.0,10728,2,0.19964,0.977252,4121,2
Csnk1g1,4,0.32415,0.54179,1.0,10729,1,0.78741,1.0,15784,0
Zfp768,4,0.32415,0.54179,1.0,10730,1,0.29694,1.0,6022,2
Pygb,4,0.32415,0.54179,1.0,10731,1,0.12275,0.957053,2578,2
Nudt14,4,0.32415,0.54179,1.0,10732,2,0.72438,1.0,14555,0
Porcn,4,0.32415,0.54179,1.0,10733,2,0.70043,1.0,14061,1
Wbp4,4,0.32475,0.54222,1.0,10734,2,0.84091,1.0,16842,0
Ncl,4,0.32475,0.54222,1.0,10735,2,0.53615,1.0,10849,1
Ramp2,4,0.32475,0.54222,1.0,10736,2,0.84254,1.0,16881,0
Nucb2,4,0.32475,0.54222,1.0,10737,2,0.89527,1.0,17943,0
Ddx42,4,0.32475,0.54222,1.0,10738,2,0.37993,1.0,7676,1
Arl15,4,0.32475,0.54222,1.0,10739,2,0.70263,1.0,14117,1
SGR000121935.1_XPR003.1,1,0.32478,0.32494,0.975516,10740,1,0.67526,1.0,13611,0
SGR000121862.1_XPR003.1,1,0.32524,0.32543,0.975516,10741,1,0.6748,1.0,13602,0
Cst9,4,0.32573,0.54292,1.0,10742,1,0.60846,1.0,12272,1
SGR000121781.1_XPR003.1,1,0.32576,0.32594,0.975516,10743,1,0.67431,1.0,13595,0
SGR000121740.1_XPR003.1,1,0.32586,0.32604,0.975516,10744,1,0.6742,1.0,13593,0
Gpr137,4,0.32594,0.54307,1.0,10745,2,0.62374,1.0,12581,1
Exd2,4,0.32611,0.54319,1.0,10746,2,0.75538,1.0,15179,0
Vmn2r33,4,0.32626,0.5433,1.0,10747,1,0.099307,0.94811,2107,1
Nipsnap3a,4,0.32626,0.5433,1.0,10748,2,0.23475,0.986589,4818,1
Copz2,4,0.32626,0.5433,1.0,10749,2,0.65278,1.0,13113,1
Adamts17,4,0.32639,0.54338,1.0,10750,2,0.47185,1.0,9514,1
1700012L04Rik,2,0.32648,0.42889,1.0,10751,1,0.12608,0.957053,3227,1
Olfr1232,4,0.32669,0.54358,1.0,10752,2,0.63967,1.0,12848,1
Edn3,4,0.32669,0.54358,1.0,10753,2,0.58838,1.0,11883,1
Zfp651,4,0.3267,0.54359,1.0,10754,2,0.52992,1.0,10727,1
Psmb2,4,0.3267,0.54359,1.0,10755,1,0.67532,1.0,13584,0
Sgsm3,4,0.32689,0.54373,1.0,10756,2,0.84494,1.0,16920,0
Acacb,4,0.32707,0.54388,1.0,10757,1,0.061371,0.922898,1325,3
Serpinb3c,4,0.32713,0.54392,1.0,10758,2,0.23579,0.986589,4839,2
SGR000122255.1_XPR003.1,1,0.32722,0.32741,0.976972,10759,1,0.67288,1.0,13574,0
Elac1,4,0.32729,0.54403,1.0,10760,1,0.49084,1.0,9926,1
Bex1,4,0.32737,0.54409,1.0,10761,1,0.078884,0.939834,1680,3
Dnase2b,4,0.3274,0.5441,1.0,10762,2,0.68624,1.0,13765,1
Ppp1r16b,4,0.32746,0.54416,1.0,10763,2,0.69212,1.0,13875,1
Vmn1r193,4,0.32748,0.54417,1.0,10764,2,0.486,1.0,9820,1
Tmem169,4,0.32748,0.54417,1.0,10765,1,0.26687,0.98953,5459,2
Rims3,4,0.32749,0.54418,1.0,10766,2,0.78965,1.0,15827,0
Wnt10b,4,0.32753,0.54421,1.0,10767,2,0.60075,1.0,12131,1
Afap1,4,0.32756,0.54422,1.0,10768,2,0.64863,1.0,13031,1
Pitpnb,4,0.32778,0.54438,1.0,10769,2,0.042555,0.916654,908,2
Plk2,4,0.32784,0.54442,1.0,10770,1,0.30643,1.0,6188,2
Fam162b,4,0.3279,0.54446,1.0,10771,2,0.31947,1.0,6460,1
SGR000122347.1_XPR003.1,1,0.3279,0.32807,0.976972,10772,1,0.67218,1.0,13558,0
Pdlim5,4,0.328,0.54454,1.0,10773,2,0.70872,1.0,14238,1
Efna5,4,0.32803,0.54457,1.0,10774,2,0.76349,1.0,15330,0
Adarb1,4,0.32805,0.54458,1.0,10775,2,0.46881,1.0,9441,1
Spata31d1d,4,0.32833,0.54478,1.0,10776,2,0.70491,1.0,14154,1
Fstl3,4,0.32846,0.54489,1.0,10777,2,0.49276,1.0,9960,1
Psma1,4,0.32857,0.54496,1.0,10778,2,0.83666,1.0,16761,0
1810013L24Rik,4,0.32857,0.54496,1.0,10779,2,0.74251,1.0,14928,0
Avpr2,4,0.32886,0.54517,1.0,10780,2,0.56041,1.0,11332,1
Zfp65,4,0.32914,0.54538,1.0,10781,2,0.80612,1.0,16152,0
Phf3,4,0.32929,0.54548,1.0,10782,2,0.15308,0.965476,3191,2
Olfr1366,4,0.32952,0.54566,1.0,10783,2,0.44193,1.0,8890,1
Zfp456,4,0.32961,0.54572,1.0,10784,2,0.23581,0.986589,4840,1
Asb1,4,0.32972,0.54581,1.0,10785,2,0.72319,1.0,14523,0
Frmd7,4,0.32992,0.54595,1.0,10786,2,0.046171,0.916654,988,1
Usp29,4,0.32992,0.54595,1.0,10787,2,0.28441,0.995774,5788,2
Lmx1b,4,0.33017,0.54611,1.0,10788,2,0.089935,0.946964,1899,2
Arfgef2,4,0.33017,0.54611,1.0,10789,2,0.05099,0.918359,1099,2
Tlk1,4,0.33017,0.54611,1.0,10790,2,0.47902,1.0,9664,1
Fads6,4,0.33017,0.54611,1.0,10791,2,0.13867,0.958477,2905,2
Fam133b,4,0.33017,0.54611,1.0,10792,2,0.33727,1.0,6799,1
Pth,4,0.33017,0.54611,1.0,10793,1,0.59055,1.0,11928,1
Tmem37,4,0.33017,0.54611,1.0,10794,2,0.66257,1.0,13319,1
1700001J03Rik,4,0.33017,0.54611,1.0,10795,1,0.13421,0.957053,2818,3
Ang2,4,0.33017,0.54611,1.0,10796,2,0.32543,1.0,6565,2
Ikbip,4,0.33017,0.54611,1.0,10797,2,0.72562,1.0,14591,0
Sphkap,4,0.33017,0.54611,1.0,10798,1,0.14614,0.964487,3045,1
Rxfp1,4,0.33017,0.54611,1.0,10799,2,0.30408,1.0,6143,1
Rnasel,4,0.33017,0.54611,1.0,10800,1,0.10335,0.952394,2185,2
Ncoa6,4,0.33017,0.54611,1.0,10801,1,0.13987,0.958477,2933,2
SGR000121714.1_XPR003.1,1,0.33032,0.33052,0.978823,10802,1,0.66973,1.0,13515,0
Klrc2,4,0.33114,0.5468,1.0,10803,2,0.89216,1.0,17882,0
Pfkfb2,4,0.33114,0.5468,1.0,10804,2,0.63932,1.0,12841,1
Traf6,4,0.33114,0.5468,1.0,10805,2,0.87308,1.0,17502,0
Egr2,4,0.33114,0.5468,1.0,10806,2,0.22293,0.984603,4583,2
Gda,4,0.33114,0.5468,1.0,10807,2,0.25302,0.987088,5195,1
Hist1h4j,4,0.33114,0.5468,1.0,10808,2,0.68913,1.0,13819,1
Slc3a2,4,0.33114,0.5468,1.0,10809,2,0.82289,1.0,16487,0
Rbm42,4,0.33114,0.5468,1.0,10810,2,0.50349,1.0,10169,1
Hook3,4,0.33114,0.5468,1.0,10811,2,0.064222,0.922898,1386,1
Cd44,4,0.33195,0.54737,1.0,10812,2,0.16739,0.97058,3469,2
Chst12,4,0.33221,0.54756,1.0,10813,1,0.25467,0.987658,5227,2
Spr,4,0.33221,0.54756,1.0,10814,1,0.36969,1.0,7463,2
Tas2r119,4,0.33243,0.54772,1.0,10815,2,0.13958,0.958477,2924,2
Tmem55b,4,0.33245,0.54774,1.0,10816,2,0.087696,0.946964,1856,2
Gm15056,4,0.33255,0.5478,1.0,10817,2,0.020744,0.905595,450,1
Gpank1,4,0.33255,0.5478,1.0,10818,2,0.65177,1.0,13089,1
Pik3ca,4,0.33258,0.54782,1.0,10819,2,0.54625,1.0,11045,1
Ddx3y,4,0.33258,0.54782,1.0,10820,1,0.46163,1.0,9280,1
4930503E14Rik,4,0.33279,0.54796,1.0,10821,2,0.87015,1.0,17432,0
Tubb1,4,0.33294,0.54805,1.0,10822,2,0.8273,1.0,16576,0
Ccdc186,4,0.33298,0.54808,1.0,10823,2,0.92491,1.0,18572,0
Tvp23b,4,0.33314,0.54819,1.0,10824,2,0.46393,1.0,9331,1
Csn1s1,4,0.3333,0.54832,1.0,10825,2,0.8743,1.0,17533,0
Lnpep,4,0.3333,0.54832,1.0,10826,2,0.19503,0.975144,4033,1
Has1,4,0.33337,0.54837,1.0,10827,2,0.80525,1.0,16135,0
Nfasc,4,0.33338,0.54838,1.0,10828,1,0.82161,1.0,16456,0
2005-09-01 00:00:00,4,0.3334,0.54839,1.0,10829,2,0.82856,1.0,16599,0
Vmn1r88,4,0.33352,0.54847,1.0,10830,2,0.27164,0.989779,5555,2
Tmem69,4,0.33355,0.5485,1.0,10831,1,0.77291,1.0,15517,0
Ccdc138,4,0.33366,0.54857,1.0,10832,2,0.67061,1.0,13486,1
Hnrnph3,4,0.33366,0.54857,1.0,10833,2,0.5181,1.0,10486,1
Aldh1a7,4,0.33368,0.54858,1.0,10834,2,0.74701,1.0,15024,0
P4ha3,4,0.33381,0.54867,1.0,10835,2,0.31411,1.0,6336,2
Zmym1,4,0.33382,0.54867,1.0,10836,2,0.35793,1.0,7200,2
Aph1c,4,0.33382,0.54867,1.0,10837,2,0.81021,1.0,16240,0
Smco2,4,0.33382,0.54867,1.0,10838,2,0.2846,0.995774,5792,1
Cask,4,0.33394,0.54876,1.0,10839,2,0.73111,1.0,14713,0
Aatf,4,0.33394,0.54876,1.0,10840,2,0.57691,1.0,11655,1
Atp2b2,4,0.33394,0.54876,1.0,10841,2,0.15288,0.965476,3185,2
Car3,4,0.33394,0.54876,1.0,10842,2,0.54073,1.0,10939,1
Zfp949,4,0.33402,0.54882,1.0,10843,2,0.51078,1.0,10334,1
SGR000121626.1_XPR003.1,1,0.33409,0.33422,0.980835,10844,1,0.66598,1.0,13455,0
Rhbdd2,4,0.33415,0.54892,1.0,10845,1,0.74314,1.0,14941,0
Susd2,4,0.33422,0.54898,1.0,10846,2,0.073121,0.937283,1560,2
